Player,Ownership
Elijhaa Penny,0.10%
DeAndre Carter,0.10%
Jakobi Meyers,0.10%
Cullen Gillaspia,0.10%
Darren Fells,0.10%
Russell Gage,0.10%
Ito Smith,0.10%
Justin Hardy,0.10%
Luke Stocker,0.10%
Alexander Mattison,0.10%
Ameer Abdullah,0.10%
Cody Latimer,0.10%
Darius Slayton,0.10%
Jon Hilliman,0.10%
Rhett Ellison,0.10%
Irv Smith,0.10%
Laquon Treadwell,0.10%
Olabisi Johnson,0.10%
Ray-Ray McCloud,0.10%
Kenny Stills,0.10%
Adam Shaheen,0.10%
Mike Davis,0.10%
Scotty Miller,0.10%
Cordarrelle Patterson,0.10%
Foster Moreau,0.10%
Trevor Davis,0.10%
Keelan Doss,0.10%
Dare Ogunbowale,0.10%
Peyton Barber,0.10%
Ted Ginn,0.10%
Justin Watson,0.10%
Reggie Bonnafon,0.10%
Josh Hill,0.10%
Lil'Jordan Humphrey,0.10%
Austin Carr,0.10%
Zach Line,0.10%
Hunter Renfrow,0.10%
Tre'Quan Smith,0.10%
Lee Smith,0.10%
Andre Roberts,0.10%
Zay Jones,0.10%
Ian Thomas,0.10%
Brandon Zylstra,0.10%
Alex Armah,0.10%
J.J. Nelson,0.10%
Jarius Wright,0.10%
T.J. Yeldon,0.10%
Isaiah McKenzie,0.10%
Jonnu Smith,0.10%
Adam Humphries,0.10%
Dion Lewis,0.10%
Jalen Richard,0.10%
Tajae Sharpe,0.10%
DeAndre Washington,0.10%
Darius Jennings,0.10%
Nick Chubb,0.00%
D'Ernest Johnson,0.00%
Dontrell Hilliard,0.00%
Antonio Callaway,0.00%
Taywan Taylor,0.00%
Damion Ratley,0.00%
Jarvis Landry,0.00%
Blake Bell,0.00%
De'Anthony Thomas,0.00%
Byron Pringle,0.00%
Mecole Hardman,0.00%
Demetrius Harris,0.00%
Demarcus Robinson,0.00%
Ashton Dulin,0.00%
Travis Kelce,0.00%
Odell Beckham,0.00%
Kendrick Bourne,0.00%
Ross Dwelley,0.00%
Levine Toilolo,0.00%
George Kittle,0.00%
Sammy Watkins,0.00%
Tevin Coleman,0.00%
Jordan Matthews,0.00%
Khadarel Hodge,0.00%
Richie James,0.00%
Deebo Samuel,0.00%
Matt Breida,0.00%
Pharaoh Brown,0.00%
Raheem Mostert,0.00%
Jeff Wilson,0.00%
Marquise Goodwin,0.00%
Dante Pettis,0.00%
Ricky Seals-Jones,0.00%
Brian Hill,0.00%
Ben Braunecker,0.00%
Chester Rogers,0.00%
Marlon Mack,0.00%
Deon Cain,0.00%
Zach Pascal,0.00%
Jack Doyle,0.00%
Damien Williams,0.00%
LeSean McCoy,0.00%
Eric Ebron,0.00%
T.Y. Hilton,0.00%
Jordan Wilkins,0.00%
Nyheim Hines,0.00%
Darrel Williams,0.00%
