"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"136","C.J. Board",NYG,"124","145","136.6","4.3"
"137","Tyrie Cleveland",DEN,"134","138","137.0","1.6"
"138","Marcus Kemp",KC,"127","139","134.5","4.6"
"139","Austin Mack",NYG,"126","147","140.0","7.3"
"140","Andre Roberts",BUF,"136","148","140.2","4.4"
"141","Tajae Sharpe",MIN,"132","142","136.0","3.7"
"142","Dante Pettis",NYG,"114","139","130.0","11.3"
"143","Malik Taylor",GB,"136","143","142.0","0.6"
"144","Austin Carr",NO,"132","144","139.0","4.4"
"145","Trent Taylor",SF,"135","145","140.8","3.8"
"146","Joe Reed",LAC,"140","152","144.8","4.3"
"147","Donte Moncrief",NE,"125","152","143.0","10.6"
"148","Penny Hart",SEA,"135","148","143.8","5.1"
"149","K.J. Hill",LAC,"140","151","144.8","4.0"
"150","Damion Ratley",HOU,"127","141","134.0","7.0"
"151","Isaiah Ford",NE,"134","150","144.7","7.5"
"152","Stanley Morgan Jr.",CIN,"131","146","138.5","7.5"
"153","Nick Westbrook-Ikhine",TEN,"143","161","151.4","6.3"
"154","River Cracraft",SF,"134","156","147.7","9.7"
"155","Trey Quinn",JAC,"142","160","150.8","6.4"
"156","Laquon Treadwell",ATL,"147","163","153.5","6.2"
"157","Diontae Spencer",DEN,"147","157","151.0","4.3"
"158","Jake Kumerow",BUF,"145","164","154.3","7.0"
"159","Trent Sherfield",ARI,"142","154","148.0","6.0"
"160","Gehrig Dieter",KC,"143","153","148.0","5.0"
"161","Ashton Dulin",IND,"143","155","149.0","6.0"
"162","Derrick Willies",CLE,"141","159","150.0","9.0"
"163","Ja'Marcus Bradley",CLE,"144","162","153.0","9.0"
"164","Chris Moore",BAL,"148","158","153.0","5.0"
"165","Terry Godwin",JAC,"152","165","157.7","5.4"
