Player,Ownership
Matt Breida,0.81%
Demarcus Robinson,0.63%
Trevor Davis,0.63%
Zay Jones,0.63%
Parris Campbell,0.63%
Andy Isabella,0.63%
Kendrick Bourne,0.63%
Kelvin Harmon,0.63%
Willie Snead,0.63%
Vance McDonald,0.61%
Mecole Hardman,0.53%
Rashard Higgins,0.10%
Justin Jackson,0.10%
Devontae Booker,0.10%
Alex Armah,0.10%
Diontae Spencer,0.10%
Charles Clay,0.10%
Dontrell Hilliard,0.10%
Jarius Wright,0.10%
KeeSean Johnson,0.10%
Damion Ratley,0.10%
Darrell Henderson,0.10%
Khadarel Hodge,0.10%
Malcolm Brown,0.10%
Reggie Bonnafon,0.10%
DeAndrew White,0.10%
Maxx Williams,0.10%
DaeSean Hamilton,0.10%
Donte Moncrief,0.10%
Chris Manhertz,0.10%
Nick Boyle,0.10%
Isaiah Ford,0.10%
Virgil Green,0.10%
Pharoh Cooper,0.10%
Geremy Davis,0.10%
Johnny Mundt,0.10%
Marquise Goodwin,0.10%
JJ Arcega-Whiteside,0.10%
Greg Ward,0.10%
Jason Moore,0.10%
Deon Cain,0.10%
Durham Smythe,0.10%
Myles Gaskin,0.10%
Tevin Jones,0.10%
Andre Patton,0.10%
Kerrith Whyte,0.10%
Demetrius Harris,0.10%
Gus Edwards,0.10%
Fred Brown,0.10%
Hayden Hurst,0.10%
Richie James,0.10%
Mike Thomas,0.10%
Garrett Celek,0.10%
Josh Reynolds,0.10%
Boston Scott,0.10%
De'Anthony Thomas,0.10%
Mack Hollins,0.10%
Justice Hill,0.10%
Jeff Heuerman,0.10%
Seth Roberts,0.10%
Nick Vannett,0.10%
Miles Boykin,0.10%
Raheem Mostert,0.10%
Hale Hentges,0.10%
Wayne Gallman,0.10%
Elijhaa Penny,0.10%
Cody Core,0.10%
Marcedes Lewis,0.10%
Jake Kumerow,0.10%
Cody Latimer,0.10%
Vyncint Smith,0.10%
Bilal Powell,0.10%
Ty Montgomery,0.10%
Daniel Brown,0.10%
Braxton Berrios,0.10%
Dan Vitale,0.10%
Jimmy Graham,0.10%
Cameron Brate,0.10%
O.J. Howard,0.10%
Justin Watson,0.10%
Dare Ogunbowale,0.10%
Chris Thompson,0.10%
Nick O'Leary,0.10%
Ben Koyack,0.10%
Devine Ozigbo,0.10%
Ryquell Armstead,0.10%
Keelan Cole,0.10%
Michael Walker,0.10%
C.J. Uzomah,0.10%
Breshad Perriman,0.10%
Byron Pringle,0.10%
Blake Bell,0.10%
Marcell Ateman,0.10%
Foster Moreau,0.10%
Ashton Dulin,0.10%
Keelan Doss,0.10%
Darwin Thompson,0.10%
Trayveon Williams,0.10%
Steven Sims,0.10%
Trey Quinn,0.10%
Jeremy Sprinkle,0.10%
Anthony Firkser,0.10%
DeAndre Washington,0.10%
Khari Blasingame,0.10%
Dion Lewis,0.10%
Chester Rogers,0.10%
Stanley Morgan,0.10%
Giovani Bernard,0.10%
Kalif Raymond,0.10%
Damion Willis,0.10%
Mo Alie-Cox,0.10%
Jordan Wilkins,0.10%
Marcus Johnson,0.10%
Tajae Sharpe,0.10%
Jakobi Meyers,0.00%
N'Keal Harry,0.00%
Benjamin Watson,0.00%
Matt LaCosse,0.00%
Phillip Dorsett,0.00%
Keke Coutee,0.00%
Rex Burkhead,0.00%
Will Fuller,0.00%
Kenny Stills,0.00%
DeAndre Hopkins,0.00%
DeAndre Carter,0.00%
Jordan Akins,0.00%
Mohamed Sanu,0.00%
James White,0.00%
Sony Michel,0.00%
Julian Edelman,0.00%
Kyle Rudolph,0.00%
Josh Gordon,0.00%
David Moore,0.00%
D.K. Metcalf,0.00%
Tyler Lockett,0.00%
Travis Homer,0.00%
Malik Turner,0.00%
Jacob Hollister,0.00%
C.J. Ham,0.00%
Luke Willson,0.00%
Rashaad Penny,0.00%
Chris Carson,0.00%
Irv Smith,0.00%
Dalvin Cook,0.00%
Darren Fells,0.00%
Taiwan Jones,0.00%
Carlos Hyde,0.00%
Alexander Mattison,0.00%
Ameer Abdullah,0.00%
Laquon Treadwell,0.00%
Olabisi Johnson,0.00%
Adam Thielen,0.00%
Stefon Diggs,0.00%
Duke Johnson,0.00%
Da'Mari Scott,0.00%
Stephen Carlson,0.00%
Trey Edmunds,0.00%
