Player,Team,Opp,Time,FD Pos,FD Own,FD Sal,DK Pos,DK Own,DK Sal
Jarius Wright,CAR,WAS,Sun 01:00 EST,WR,0.30%,4600,WR,0.40%,3000
Kendrick Bourne,SF,BAL,Sun 01:00 EST,WR,0.30%,4600,WR,0.30%,3600
Deon Cain,PIT,CLE,Sun 01:00 EST,WR,0.20%,4800,WR,0.40%,3000
Seth Roberts,BAL,SF,Sun 01:00 EST,WR,0.20%,4700,WR,0.30%,3100
Tajae Sharpe,TEN,IND,Sun 01:00 EST,WR,0.20%,4700,WR,0.30%,3000
Trevor Davis,OAK,KC,Sun 04:25 EST,WR,0.20%,4500,WR,0.30%,3000
Andy Isabella,ARI,LA,Sun 04:05 EST,WR,0.20%,4900,WR,0.30%,3200
Jimmy Garoppolo,SF,BAL,Sun 01:00 EST,QB,0.20%,8000,QB,0.20%,5600
DaeSean Hamilton,DEN,LAC,Sun 04:25 EST,WR,0.10%,4700,WR,0.20%,3100
Marcell Ateman,OAK,KC,Sun 04:25 EST,WR,0.10%,4500,WR,0.20%,3000
Pharoh Cooper,ARI,LA,Sun 04:05 EST,WR,0.10%,5100,WR,0.20%,3400
Miles Boykin,BAL,SF,Sun 01:00 EST,WR,0.10%,4700,WR,0.20%,3100
Devlin Hodges,PIT,CLE,Sun 01:00 EST,QB,0.10%,6800,QB,0.10%,5100
O.J. Howard,TB,JAC,Sun 01:00 EST,TE,0.10%,4800,TE,0.10%,3000
Ryan Fitzpatrick,MIA,PHI,Sun 01:00 EST,QB,0.10%,7100,QB,0.10%,5400
KeeSean Johnson,ARI,LA,Sun 04:05 EST,WR,0.10%,4500,WR,0.10%,3300
Chris Thompson,WAS,CAR,Sun 01:00 EST,RB,0.00%,5200,RB,0.00%,3700
De'Anthony Thomas,BAL,SF,Sun 01:00 EST,WR,0.00%,4500,WR,0.00%,3000
Donte Moncrief,CAR,WAS,Sun 01:00 EST,WR,0.00%,4500,WR,0.00%,3000
Charles Clay,ARI,LA,Sun 04:05 EST,TE,0.00%,4500,TE,0.00%,2600
Garrett Celek,SF,BAL,Sun 01:00 EST,TE,0.00%,4000,TE,0.00%,2500
Virgil Green,LAC,DEN,Sun 04:25 EST,TE,0.00%,4000,TE,0.00%,2500
Demetrius Harris,CLE,PIT,Sun 01:00 EST,TE,0.00%,4500,TE,0.00%,2900
Marcedes Lewis,GB,NYG,Sun 01:00 EST,TE,0.00%,4000,TE,0.00%,2500
Chris Manhertz,CAR,WAS,Sun 01:00 EST,TE,0.00%,4000,TE,0.00%,2500
Maxx Williams,ARI,LA,Sun 04:05 EST,TE,0.00%,4400,TE,0.00%,2600
Jake Kumerow,GB,NYG,Sun 01:00 EST,WR,0.00%,4900,WR,0.00%,3300
C.J. Uzomah,CIN,NYJ,Sun 01:00 EST,TE,0.00%,4300,TE,0.00%,2500
Ben Koyack,JAC,TB,Sun 01:00 EST,TE,0.00%,4000,TE,0.00%,2500
Jeff Heuerman,DEN,LAC,Sun 04:25 EST,TE,0.00%,4200,TE,0.00%,2500
Geremy Davis,LAC,DEN,Sun 04:25 EST,WR,0.00%,4500,WR,0.00%,3000
Blake Bell,KC,OAK,Sun 04:25 EST,TE,0.00%,4000,TE,0.00%,2600
DeAndrew White,CAR,WAS,Sun 01:00 EST,WR,0.00%,4500,WR,0.00%,3000
Daniel Brown,NYJ,CIN,Sun 01:00 EST,TE,0.00%,4300,TE,0.00%,2500
Nick Vannett,PIT,CLE,Sun 01:00 EST,TE,0.00%,4000,TE,0.00%,2500
Devontae Booker,DEN,LAC,Sun 04:25 EST,RB,0.00%,4500,RB,0.00%,3000
Cody Core,NYG,GB,Sun 01:00 EST,WR,0.00%,4500,WR,0.00%,3000
Marcus Johnson,IND,TEN,Sun 01:00 EST,WR,0.00%,4900,WR,0.00%,3100
Kalif Raymond,TEN,IND,Sun 01:00 EST,WR,0.00%,4700,WR,0.00%,3000
Elijhaa Penny,NYG,GB,Sun 01:00 EST,RB,0.00%,4500,RB,0.00%,3000
Tevin Jones,PIT,CLE,Sun 01:00 EST,WR,0.00%,5100,WR,0.00%,3000
Alex Armah,CAR,WAS,Sun 01:00 EST,RB,0.00%,4500,RB,0.00%,3000
Josh Reynolds,LA,ARI,Sun 04:05 EST,WR,0.00%,5300,WR,0.00%,3800
Wayne Gallman,NYG,GB,Sun 01:00 EST,RB,0.00%,4500,RB,0.00%,4700
Anthony Firkser,TEN,IND,Sun 01:00 EST,TE,0.00%,5000,TE,0.00%,2500
Mack Hollins,PHI,MIA,Sun 01:00 EST,WR,0.00%,4500,WR,0.00%,3100
Fred Brown,DEN,LAC,Sun 04:25 EST,WR,0.00%,4500,WR,0.00%,3100
