"Player","Team","Opp","Time","FD Pos","FD Own","FD Sal","DK Pos","DK Own","DK Sal"
"Larry Fitzgerald","ARI","CLE","Sun 04:05 EST","WR","1.5%","5700","WR","1.9%","4300"
"Mitchell Trubisky","CHI","GB","Sun 01:00 EST","QB","1.5%","7500","QB","1.4%","6000"
"Nelson Agholor","PHI","WAS","Sun 01:00 EST","WR","1.5%","5200","WR","1.8%","4000"
"Dion Lewis","TEN","HOU","Sun 01:00 EST","RB","1.4%","4700","RB","1.7%","3700"
"Phillip Dorsett","NE","CIN","Sun 01:00 EST","WR","1.4%","5200","WR","2.0%","3700"
"J.D. McKissic","DET","TB","Sun 01:00 EST","RB","1.4%","4900","RB","1.9%","3300"
"N'Keal Harry","NE","CIN","Sun 01:00 EST","WR","1.3%","5300","WR","1.9%","3500"
"Tarik Cohen","CHI","GB","Sun 01:00 EST","RB","1.3%","5700","RB","1.5%","4800"
"Kelvin Harmon","WAS","PHI","Sun 01:00 EST","WR","1.3%","4800","WR","1.8%","3500"
"Eli Manning","NYG","MIA","Sun 01:00 EST","QB","1.2%","6800","QB","1.2%","5200"
"Albert Wilson","MIA","NYG","Sun 01:00 EST","WR","1.2%","4600","WR","1.6%","3500"
"Jonnu Smith","TEN","HOU","Sun 01:00 EST","TE","1.2%","4900","TE","1.5%","3500"
"David Montgomery","CHI","GB","Sun 01:00 EST","RB","1.2%","6400","RB","1.1%","5500"
"Brian Hill","ATL","SF","Sun 04:25 EST","RB","1.2%","4900","RB","1.4%","3500"
"Tyler Eifert","CIN","NE","Sun 01:00 EST","TE","1.2%","4500","TE","1.7%","2800"
"Boston Scott","PHI","WAS","Sun 01:00 EST","RB","1.1%","4700","RB","1.6%","3000"
"David Johnson","ARI","CLE","Sun 04:05 EST","RB","1.1%","5400","RB","1.2%","4500"
"Gerald Everett","LA","DAL","Sun 04:25 EST","TE","1.1%","5800","TE","1.4%","4000"
"Jason Witten","DAL","LA","Sun 04:25 EST","TE","1.1%","5600","TE","1.5%","3700"
"Myles Gaskin","MIA","NYG","Sun 01:00 EST","RB","1.1%","4800","RB","1.4%","3200"
"Kyle Rudolph","MIN","LAC","Sun 04:05 EST","TE","1.1%","4700","TE","1.2%","3800"
"Philip Rivers","LAC","MIN","Sun 04:05 EST","QB","1.1%","7400","QB","1.1%","5600"
"Jesse James","DET","TB","Sun 01:00 EST","TE","1.1%","4300","TE","1.7%","2500"
"Mecole Hardman","KC","DEN","Sun 01:00 EST","WR","1.1%","5600","WR","1.5%","4000"
"Gardner Minshew","JAC","OAK","Sun 04:05 EST","QB","1.1%","6900","QB","1.0%","5500"
"Greg Olsen","CAR","SEA","Sun 01:00 EST","TE","1.1%","4900","TE","1.2%","3900"
"Tim Patrick","DEN","KC","Sun 01:00 EST","WR","1.0%","5400","WR","1.6%","3500"
"Isaiah Ford","MIA","NYG","Sun 01:00 EST","WR","1.0%","5500","WR","1.5%","3700"
"Kenny Stills","HOU","TEN","Sun 01:00 EST","WR","1.0%","5000","WR","1.1%","4100"
"JJ Arcega-Whiteside","PHI","WAS","Sun 01:00 EST","WR","1.0%","5500","WR","1.6%","3300"
"Allen Lazard","GB","CHI","Sun 01:00 EST","WR","0.9%","5300","WR","1.3%","3800"
"Dare Ogunbowale","TB","DET","Sun 01:00 EST","RB","0.9%","5100","RB","1.3%","3400"
"Darren Fells","HOU","TEN","Sun 01:00 EST","TE","0.9%","4700","TE","1.2%","3200"
"Irv Smith","MIN","LAC","Sun 04:05 EST","TE","0.9%","5200","TE","1.4%","2900"
"Drew Lock","DEN","KC","Sun 01:00 EST","QB","0.8%","7400","QB","0.8%","5700"
"Nick O'Leary","JAC","OAK","Sun 04:05 EST","TE","0.8%","5300","TE","1.2%","3100"
"Bisi Johnson","MIN","LAC","Sun 04:05 EST","WR","0.8%","5200","WR","1.1%","-"
"Cameron Brate","TB","DET","Sun 01:00 EST","TE","0.7%","5200","TE","1.0%","3400"
"Jimmy Graham","GB","CHI","Sun 01:00 EST","TE","0.7%","5400","TE","1.0%","3600"
"Alex Erickson","CIN","NE","Sun 01:00 EST","WR","0.7%","5100","WR","1.1%","3500"
"Jeremy Sprinkle","WAS","PHI","Sun 01:00 EST","TE","0.7%","4900","TE","1.1%","2700"
"Chris Thompson","WAS","PHI","Sun 01:00 EST","RB","0.6%","5200","RB","0.8%","3900"
"Logan Thomas","DET","TB","Sun 01:00 EST","TE","0.6%","4700","TE","1.1%","2600"
"Kendrick Bourne","SF","ATL","Sun 04:25 EST","WR","0.6%","5400","WR","0.8%","4000"
"Ty Johnson","DET","TB","Sun 01:00 EST","RB","0.6%","4900","RB","0.9%","3000"
"David Blough","DET","TB","Sun 01:00 EST","QB","0.6%","7300","QB","0.6%","5300"
"Tony Pollard","DAL","LA","Sun 04:25 EST","RB","0.6%","4800","RB","0.6%","4300"
"David Moore","SEA","CAR","Sun 01:00 EST","WR","0.6%","4700","WR","0.8%","3500"
"Giovani Bernard","CIN","NE","Sun 01:00 EST","RB","0.6%","4700","RB","0.7%","3800"
"Alexander Mattison","MIN","LAC","Sun 04:05 EST","RB","0.6%","5600","RB","0.6%","4500"
"Greg Ward","PHI","WAS","Sun 01:00 EST","WR","0.5%","4900","WR","0.9%","3000"
"Matt LaCosse","NE","CIN","Sun 01:00 EST","TE","0.5%","4700","TE","0.9%","2600"
"Demarcus Robinson","KC","DEN","Sun 01:00 EST","WR","0.5%","4500","WR","0.7%","3200"
"Chase Edmonds","ARI","CLE","Sun 04:05 EST","RB","0.5%","4700","RB","0.6%","3600"
"Jordan Howard","PHI","WAS","Sun 01:00 EST","RB","0.5%","6900","RB","0.6%","4900"
"Ian Thomas","CAR","SEA","Sun 01:00 EST","TE","0.5%","5300","TE","0.8%","3100"
"Ben Braunecker","CHI","GB","Sun 01:00 EST","TE","0.5%","4500","TE","0.7%","2700"
"Olamide Zaccheaus","ATL","SF","Sun 04:25 EST","WR","0.4%","4500","WR","0.6%","3500"
"Jeff Heuerman","DEN","KC","Sun 01:00 EST","TE","0.4%","4500","TE","0.7%","2600"
"Kyle Allen","CAR","SEA","Sun 01:00 EST","QB","0.4%","7000","QB","0.4%","5400"
"Chris Lacy","DET","TB","Sun 01:00 EST","WR","0.4%","4500","WR","0.6%","3000"
"Taylor Gabriel","CHI","GB","Sun 01:00 EST","WR","0.4%","5400","WR","0.5%","4200"
"Jarius Wright","CAR","SEA","Sun 01:00 EST","WR","0.4%","4800","WR","0.5%","3500"
"Paul Richardson","WAS","PHI","Sun 01:00 EST","WR","0.4%","5000","WR","0.5%","3900"
"Blake Jarwin","DAL","LA","Sun 04:25 EST","TE","0.4%","5400","TE","0.6%","3000"
"O.J. Howard","TB","DET","Sun 01:00 EST","TE","0.4%","5700","TE","0.6%","3500"
"Andy Isabella","ARI","CLE","Sun 04:05 EST","WR","0.4%","4700","WR","0.5%","3200"
"Maxx Williams","ARI","CLE","Sun 04:05 EST","TE","0.3%","4400","TE","0.5%","2500"
"Geronimo Allison","GB","CHI","Sun 01:00 EST","WR","0.3%","4600","WR","0.4%","3400"
"Christian Blake","ATL","SF","Sun 04:25 EST","WR","0.3%","4800","WR","0.5%","3100"
"Rashard Higgins","CLE","ARI","Sun 04:05 EST","WR","0.3%","4500","WR","0.4%","3000"
"Marcell Ateman","OAK","JAC","Sun 04:05 EST","WR","0.3%","4500","WR","0.4%","3000"
"Pharoh Cooper","ARI","CLE","Sun 04:05 EST","WR","0.3%","4900","WR","0.5%","3000"
"DaeSean Hamilton","DEN","KC","Sun 01:00 EST","WR","0.2%","4800","WR","0.4%","3300"
"Keelan Doss","OAK","JAC","Sun 04:05 EST","WR","0.2%","4600","WR","0.4%","3000"
"Jordan Akins","HOU","TEN","Sun 01:00 EST","TE","0.2%","5200","TE","0.4%","3000"
"Trey Quinn","WAS","PHI","Sun 01:00 EST","WR","0.2%","4700","WR","0.3%","3400"
"Justin Hardy","ATL","SF","Sun 04:25 EST","WR","0.2%","4800","WR","0.3%","3300"
"Jake Kumerow","GB","CHI","Sun 01:00 EST","WR","0.2%","4600","WR","0.3%","3000"
"Keke Coutee","HOU","TEN","Sun 01:00 EST","WR","0.2%","5400","WR","0.3%","3400"
"Marquez Valdes-Scantling","GB","CHI","Sun 01:00 EST","WR","0.2%","4700","WR","0.2%","3200"
"C.J. Uzomah","CIN","NE","Sun 01:00 EST","TE","0.1%","4700","TE","0.3%","2500"
"Andy Dalton","CIN","NE","Sun 01:00 EST","QB","0.1%","6500","QB","0.1%","4900"
"Damiere Byrd","ARI","CLE","Sun 04:05 EST","WR","0.1%","4600","WR","0.2%","3000"
"Keelan Cole","JAC","OAK","Sun 04:05 EST","WR","0.1%","4900","WR","0.2%","3000"
"Javon Wims","CHI","GB","Sun 01:00 EST","WR","0.1%","4500","WR","0.2%","3000"
"Jamize Olawale","DAL","LA","Sun 04:25 EST","RB","0.0%","4500","RB","0.0%","3000"
"Tavon Austin","DAL","LA","Sun 04:25 EST","WR","0.0%","4500","WR","0.0%","3000"
"Cordarrelle Patterson","CHI","GB","Sun 01:00 EST","WR","0.0%","4500","WR","0.0%","3000"
"Cody Latimer","NYG","MIA","Sun 01:00 EST","WR","0.0%","4700","WR","0.0%","3000"
"Charles Clay","ARI","CLE","Sun 04:05 EST","TE","0.0%","5000","TE","0.0%","3100"
"Luke Willson","SEA","CAR","Sun 01:00 EST","TE","0.0%","4100","TE","0.0%","2500"
"Luke Stocker","ATL","SF","Sun 04:25 EST","TE","0.0%","4000","TE","0.0%","2500"
"Virgil Green","LAC","MIN","Sun 04:05 EST","TE","0.0%","4000","TE","0.0%","2500"
"Marcedes Lewis","GB","CHI","Sun 01:00 EST","TE","0.0%","4600","TE","0.0%","2500"
"Rhett Ellison","NYG","MIA","Sun 01:00 EST","TE","0.0%","5000","TE","0.0%","3300"
