,cost,name,own,team
79,7400,Michael Thomas,0.029,NO
80,5600,Tyrell Williams,0.028,OAK
81,5400,Matt Breida,0.025,SF
82,6400,James Conner,0.022,PIT
83,4300,Phillip Lindsay,0.022,DEN
84,5400,Josh Gordon,0.019,NE
85,5100,John Ross,0.019,CIN
86,3800,O.J. Howard,0.018,TB
87,7600,Davante Adams,0.015,GB
88,4500,Carlos Hyde,0.013,HOU
89,4300,Vance McDonald,0.011,PIT
90,4300,Duke Johnson,0.011,HOU
91,5600,Kerryon Johnson,0.011,DET
92,4400,Frank Gore,0.01,BUF
93,4900,Sterling Shepard,0.01,NYG
94,5200,Damien Williams,0.009,OKC
95,4700,Raheem Mostert,0.009,SF
96,5000,LeSean McCoy,0.008,KC
97,3500,T.J. Hockenson,0.008,DET
98,4600,Randall Cobb,0.007,DAL
99,4900,Devonta Freeman,0.006,ATL
100,4600,Peyton Barber,0.006,TB
101,5000,Marvin Jones,0.006,DET
102,3500,James Washington,0.006,PIT
103,3800,Jared Cook,0.005,NO
104,3400,Will Dissly,0.005,SEA
105,5500,Joe Mixon,0.005,CIN
106,3400,Kyle Rudolph,0.005,MIN
107,5300,Josh Jacobs,0.004,OAK
108,4000,Devante Parker,0.003,MIA
109,3500,J.J. Arcega-Whiteside,0.003,PHI
110,4400,Royce Freeman,0.002,DEN
111,3800,Eric Ebron,0.002,IND
112,3700,Preston Williams,0.002,MIA
113,4100,Latavius Murray,0.002,NO
114,5300,Jaylen Samuels,0.002,PIT
115,4500,Kenyan Drake,0.001,MIA
116,7100,Antonio Brown,0.001,ONE
117,4800,Robby Anderson,0.001,NYJ
118,3800,Tony Pollard,0.001,DAL
119,4100,Rashaad Penny,0.001,SEA
120,4000,Jimmy Graham,0.001,GB
121,4500,Courtland Sutton,0.001,DEN
122,3200,Tyler Eifert,0.001,CIN
123,4500,Dante Pettis,0.001,SF
124,3800,Cody Latimer,0.001,NYG
125,5700,Alshon Jeffery,0.001,PHI
126,3000,Miles Boykin,0.001,BAL
127,4300,Devin Singletary,0.001,OBUF
128,3800,Parris Campbell,0.001,IND
129,3400,Keke Coutee,0.001,HOU
130,3900,Kenny Stills,0.001,HOU
131,3400,KeeSean Johnson,0.001,ARI
132,4400,Cole Beasley,0.001,BUF
133,3900,Rex Burkhead,0.001,NE
134,4200,Justin Jackson,0.001,LAC
135,4100,Jordan Howard,0.001,PHI
136,4200,Giovani Bernard,0.001,CIN
137,3700,Ito Smith,0.001,ATL
138,3800,Danny Amendola,0.001,DET
139,4800,Geronimo Allison,0.001,GB
140,4200,Willie Snead,0.001,BAL
141,3900,Mohamed Sanu,0.001,ATL
142,4000,Jamaal Williams,0.001,GB
143,5000,Marquise Goodwin,0.001,SF
144,4800,Jamison Crowder,0.001,NYJ
145,3900,Ted Ginn,0.001,NO
146,3900,Ronald Jones II,0.001,TB
147,4500,Deebo Samuel,0.0,SF
148,3800,New England Patriots,0.4,NE
149,4300,Dallas Cowboys,0.288,DAL
150,3200,San Francisco 49ers,0.075,SF
151,2200,Detroit Lions,0.064,DET
152,2200,New Orleans Saints,0.041,NO
153,3300,Minnesota Vikings,0.034,MIN
154,3400,Buffalo Bills,0.033,BUF
155,2500,Los Angeles Chargers,0.024,LAC
156,2700,Carolina Panthers,0.013,CAR
157,3400,Green Bay Packers,0.005,GB
158,2900,Tampa Bay Buccaneers,0.005,TB
159,2500,Baltimore Ravens,0.005,BAL
160,2800,Houston Texans,0.004,HOU
161,2600,Denver Broncos,0.002,DEN
162,3200,Seattle Seahawks,0.002,SEA
163,3500,Philadelphia Eagles,0.002,PHI
164,3000,New York Giants,0.001,NYG
165,2800,Indianapolis Colts,0.001,IND
166,2500,Kansas City Chiefs,0.001,KC
167,3100,Atlanta Falcons,0.001,ATL
168,2400,Cincinnati Bengals,0.001,CIN
169,2700,Arizona Cardinals,0.001,ARI
170,2300,Pittsburgh Steelers,0.001,PIT
