Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,
985021460,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,WR,Devin Funchess (10043295),Devin Funchess,10043295,5900,CAR@NO 01/07/2018 04:40PM ET,CAR
985021461,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,WR,Cooper Kupp (10043166),Cooper Kupp,10043166,5800,ATL@LAR 01/06/2018 08:15PM ET,LAR
985021462,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,WR,Marqise Lee (10043233),Marqise Lee,10043233,5700,BUF@JAX 01/07/2018 01:05PM ET,JAX
985021463,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,WR,Mohamed Sanu (10043135),Mohamed Sanu,10043135,5600,ATL@LAR 01/06/2018 08:15PM ET,ATL
985021464,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,QB,Marcus Mariota (10043059),Marcus Mariota,10043059,5500,TEN@KC 01/06/2018 04:35PM ET,TEN
985021465,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,WR,Keelan Cole (10043235),Keelan Cole,10043235,5400,BUF@JAX 01/07/2018 01:05PM ET,JAX
985021466,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,WR,Ted Ginn Jr. (10043265),Ted Ginn Jr.,10043265,5200,CAR@NO 01/07/2018 04:40PM ET,NO
985021467,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,WR,Sammy Watkins (10043168),Sammy Watkins,10043168,5100,ATL@LAR 01/06/2018 08:15PM ET,LAR
985021468,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,QB,Derek Anderson (10043283),Derek Anderson,10043283,5100,CAR@NO 01/07/2018 04:40PM ET,CAR
985021469,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,QB,Patrick Mahomes II (10043094),Patrick Mahomes II,10043094,5000,TEN@KC 01/06/2018 04:35PM ET,KC
