,cost,name,own,team
112,2900,Tyler Eifert,0.002,CIN
113,3700,Jimmy Graham,0.002,GB
114,4900,David Montgomery,0.002,CHI
115,3900,Vance McDonald,0.002,PIT
116,3000,Noah Fant,0.001,DEN
117,5300,Dante Pettis,0.001,SF
118,3700,Deebo Samuel,0.001,SF
119,4000,Ted Ginn,0.001,NO
120,4400,Marquise Goodwin,0.001,SF
121,4100,Devante Parker,0.001,MIA
122,4000,A.J. Brown,0.001,TEN
123,4100,Kenny Stills,0.001,HOU
124,3900,Trey Quinn,0.001,WAS
125,4500,Randall Cobb,0.001,DAL
126,4200,Chris Conley,0.001,JAC
127,3800,DaeSean Hamilton,0.001,DEN
128,3800,Albert Wilson,0.001,MIA
129,4500,Willie Snead,0.001,BAL
130,3800,Cole Beasley,0.001,BUF
131,4300,Adam Humphries,0.001,TEN
132,3700,Taylor Gabriel,0.001,CHI
133,4000,Paul Richardson,0.001,WAS
134,3500,Zay Jones,0.001,BUF
135,3700,Parris Campbell,0.001,IND
136,3400,Preston Williams,0.001,MIA
137,3800,Keke Coutee,0.001,HOU
138,3000,Phillip Dorsett,0.001,NE
139,3500,C.J. Anderson,0.001,DET
140,3700,Tre'Quan Smith,0.001,NO
141,3700,Trey Burton,0.001,CHI
142,4000,Rashaad Penny,0.001,SEA
143,3200,Kyle Rudolph,0.001,MIN
144,3100,Jack Doyle,0.001,IND
145,3800,Eric Ebron,0.001,IND
146,3700,Tony Pollard,0.001,DAL
147,3900,Darrell Henderson,0.001,LAR
148,3200,Jamaal Williams,0.001,GB
149,3600,Jaylen Samuels,0.001,PIT
150,3300,Jalen Richard,0.001,OAK
151,3500,Frank Gore,0.001,BUF
152,4500,Kalen Ballage,0.001,MIA
153,3300,Mike Davis,0.001,CHI
154,3700,Alexander Mattison,0.001,MIN
155,3200,Gus Edwards,0.001,BAL
156,4000,Dion Lewis,0.001,TEN
157,6500,Joe Mixon,0.001,CIN
158,3600,Carlos Hyde,0.001,HOU
159,4400,Justin Jackson,0.001,LAC
160,4300,Kenyan Drake,0.001,MIA
161,4600,Phillip Lindsay,0.001,DEN
162,3200,Vernon Davis,0.001,WAS
163,3700,Nyheim Hines,0.001,IND
164,3300,Justice Hill,0.001,BAL
165,3000,Minnesota Vikings,0.001,MIN
166,3100,Tennessee Titans,0.001,TEN
167,2800,Houston Texans,0.388,HOU
168,2400,Pittsburgh Steelers,0.062,PIT
169,2900,Seattle Seahawks,0.002,SEA
170,2600,New Orleans Saints,0.001,NO
171,2300,Washington Redskins,0.012,WAS
172,3800,Baltimore Ravens,0.054,BAL
173,2700,Los Angeles Rams,0.004,LAR
174,3700,New England Patriots,0.092,NE
175,3100,Green Bay Packers,0.008,GB
176,3000,Detroit Lions,0.001,DET
177,2400,Jacksonville Jaguars,0.155,JAC
178,2500,New York Giants,0.022,NYG
179,3300,Dallas Cowboys,0.007,DAL
180,2500,Indianapolis Colts,0.084,IND
181,3500,Kansas City Chiefs,0.008,KC
182,3200,Los Angeles Chargers,0.002,LAC
183,2200,Arizona Cardinals,0.001,ARI
184,2700,Denver Broncos,0.126,DEN
185,3400,Buffalo Bills,0.028,BUF
186,2600,Cincinnati Bengals,0.004,CIN
187,3900,Chicago Bears,0.029,CHI
188,2800,San Francisco 49ers,0.001,SF
