Player Name,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Elijhaa Penny,NYG,1.1,3.6,0.0,0.3,1.6,0.0,0.0,0.7
De'Lance Turner,MIA,0.9,2.8,0.0,0.2,1.2,0.0,0.0,0.7
Mike Davis,CAR,0.7,2.7,0.0,0.2,1.1,0.0,0.0,0.6
Chandler Cox,MIA,0.6,2.0,0.0,0.3,2.0,0.0,0.0,0.6
Mike Boone,MIN,0.8,2.5,0.0,0.3,1.0,0.0,0.0,0.5
Damien Harris,NE,0.8,2.9,0.0,0.2,0.7,0.0,0.0,0.5
T.J. Yeldon,BUF,0.7,2.1,0.0,0.3,0.9,0.0,0.0,0.4
Tyler Ervin,GB,0.2,0.8,0.0,0.3,1.8,0.0,0.0,0.4
Dwayne Washington,NO,0.6,1.8,0.0,0.2,0.8,0.0,0.0,0.3
Troymaine Pope,LAC,0.2,0.6,0.0,0.1,1.2,0.0,0.0,0.3
Devine Ozigbo,JAC,0.2,1.0,0.0,0.2,1.0,0.0,0.0,0.3
Cullen Gillaspia,HOU,0.3,1.0,0.0,0.1,1.0,0.0,0.0,0.3
Buddy Howell,HOU,0.4,1.3,0.0,0.0,0.5,0.0,0.0,0.2
Michael Burton,WAS,0.2,0.6,0.0,0.1,0.9,0.0,0.0,0.2
Trayveon Williams,CIN,0.2,1.0,0.0,0.1,0.0,0.0,0.0,0.2
Senorise Perry,BUF,0.3,1.1,0.0,0.0,0.2,0.0,0.0,0.1
Nick Bellore,SEA,0.1,0.4,0.0,0.1,0.4,0.0,0.0,0.1
Dalyn Dawkins,TEN,0.2,0.6,0.0,0.0,0.2,0.0,0.0,0.1
Dexter Williams,GB,0.1,0.5,0.0,0.0,0.2,0.0,0.0,0.1
Khari Blasingame,TEN,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
