Player,Team,Opp,Time,"FD Pos","FD Draft %","FD Sal","DK Pos","DK Draft %","DK Sal"
"Diontae Johnson",PIT,DEN,"Sun 01:00 EDT",WR,10.1%,5800,WR,12.6%,4500
"Ronald Jones",TB,CAR,"Sun 01:00 EDT",RB,9.6%,5900,RB,10.6%,5200
"Parris Campbell",IND,MIN,"Sun 01:00 EDT",WR,9.6%,5300,WR,14.5%,4500
"Aaron Rodgers",GB,DET,"Sun 01:00 EDT",QB,9.4%,7900,QB,9.3%,6900
"Corey Davis",TEN,JAC,"Sun 01:00 EDT",WR,8.8%,4900,WR,10.0%,4000
"Calvin Ridley",ATL,DAL,"Sun 01:00 EDT",WR,8.6%,7100,WR,8.3%,6800
"Logan Thomas",WAS,ARI,"Sun 04:05 EDT",TE,8.3%,4700,TE,12.0%,3600
"Keenan Allen",LAC,KC,"Sun 04:25 EDT",WR,8.2%,6900,WR,3.2%,5700
"Tom Brady",TB,CAR,"Sun 01:00 EDT",QB,7.8%,7600,QB,7.9%,6500
"Marquise Brown",BAL,HOU,"Sun 04:25 EDT",WR,7.7%,6200,WR,7.2%,6200
"Zach Ertz",PHI,LA,"Sun 01:00 EDT",TE,7.5%,6300,TE,6.1%,5600
"Marvin Jones",DET,GB,"Sun 01:00 EDT",WR,6.8%,6400,WR,7.0%,5700
"Malcolm Brown",LA,PHI,"Sun 01:00 EDT",RB,6.8%,5200,RB,2.0%,5700
"Dalvin Cook",MIN,IND,"Sun 01:00 EDT",RB,6.6%,8800,RB,7.6%,7600
"Allen Robinson",CHI,NYG,"Sun 01:00 EDT",WR,6.5%,7000,WR,6.4%,6400
"Terry McLaurin",WAS,ARI,"Sun 04:05 EDT",WR,6.5%,6500,WR,6.8%,5900
"Nyheim Hines",IND,MIN,"Sun 01:00 EDT",RB,6.0%,5500,RB,6.5%,5300
"Russell Gage",ATL,DAL,"Sun 01:00 EDT",WR,5.6%,5400,WR,5.9%,4800
