Player,Team,Opp,Time,"FD Pos","FD Draft %","FD Sal","DK Pos","DK Draft %","DK Sal"
"Irv Smith",MIN,IND,"Sun 01:00 EDT",TE,0.1%,4600,TE,0.2%,2900
"Jalen Guyton",LAC,KC,"Sun 04:25 EDT",WR,0.1%,4500,WR,0.2%,3000
"Noah Togiai",IND,MIN,"Sun 01:00 EDT",TE,0.1%,4000,TE,0.2%,2500
"Darius Bradwell",LAC,KC,"Sun 04:25 EDT",RB,0.1%,6000,RB,0.0%,0
"Nick Westbrook-Ikhine",TEN,JAC,"Sun 01:00 EDT",WR,0.1%,4500,WR,0.0%,200
"Dion Lewis",NYG,CHI,"Sun 01:00 EDT",RB,0.0%,4700,RB,0.0%,4500
"Seth Roberts",CAR,TB,"Sun 01:00 EDT",WR,0.0%,4500,WR,0.0%,3000
"Cameron Brate",TB,CAR,"Sun 01:00 EDT",TE,0.0%,4200,TE,0.0%,2600
"Luke Stocker",ATL,DAL,"Sun 01:00 EDT",TE,0.0%,4000,TE,0.0%,2500
"Levine Toilolo",NYG,CHI,"Sun 01:00 EDT",TE,0.0%,4000,TE,0.0%,2800
"Virgil Green",LAC,KC,"Sun 04:25 EDT",TE,0.0%,4100,TE,0.0%,2500
"Marcedes Lewis",GB,DET,"Sun 01:00 EDT",TE,0.0%,4200,TE,0.0%,2700
"Kyle Juszczyk",SF,NYJ,"Sun 01:00 EDT",RB,0.0%,4500,RB,0.0%,4000
"Chris Manhertz",CAR,TB,"Sun 01:00 EDT",TE,0.0%,4000,TE,0.0%,2700
"DeAndre Carter",HOU,BAL,"Sun 04:25 EDT",WR,0.0%,4500,WR,0.0%,3000
"Jesse James",DET,GB,"Sun 01:00 EDT",TE,0.0%,4100,TE,0.0%,2700
"James O'Shaughnessy",JAC,TEN,"Sun 01:00 EDT",TE,0.0%,4000,TE,0.0%,2700
"MyCole Pruitt",TEN,JAC,"Sun 01:00 EDT",TE,0.0%,4000,TE,0.0%,2500
"Blake Bell",DAL,ATL,"Sun 01:00 EDT",TE,0.0%,4000,TE,0.0%,3000
"Mike Davis",CAR,TB,"Sun 01:00 EDT",RB,0.0%,4500,RB,0.0%,4000
"Nick Vannett",DEN,PIT,"Sun 01:00 EDT",TE,0.0%,4000,TE,0.0%,2600
"Pharoh Cooper",CAR,TB,"Sun 01:00 EDT",WR,0.0%,4500,WR,0.0%,3000
"Tyler Ervin",GB,DET,"Sun 01:00 EDT",RB,0.0%,4500,RB,0.0%,4000
"Tajae Sharpe",MIN,IND,"Sun 01:00 EDT",WR,0.0%,4500,WR,0.0%,3400
"Stephen Anderson",LAC,KC,"Sun 04:25 EDT",TE,0.0%,4000,TE,0.0%,2500
"Jaydon Mickens",TB,CAR,"Sun 01:00 EDT",WR,0.0%,0,WR,0.0%,3000
