Player,Team,Opp,Time,"FD Pos","FD Draft %","FD Sal","DK Pos","DK Draft %","DK Sal"
"Emmanuel Sanders",NO,TB,"Sun 04:25 EDT",WR,4.3%,5600,WR,4.9%,5700
"Carson Wentz",PHI,WAS,"Sun 01:00 EDT",QB,4.3%,7700,QB,4.5%,6300
"Anthony Miller",CHI,DET,"Sun 01:00 EDT",WR,4.3%,5400,WR,5.4%,5000
"Todd Gurley",ATL,SEA,"Sun 01:00 EDT",RB,4.0%,7100,RB,4.3%,6100
"Josh Allen",BUF,NYJ,"Sun 01:00 EDT",QB,3.8%,7900,QB,3.9%,6500
"Nyheim Hines",IND,JAC,"Sun 01:00 EDT",RB,3.8%,4900,RB,4.8%,4000
"Joe Burrow",CIN,LAC,"Sun 04:05 EDT",QB,3.8%,6600,QB,1.2%,5800
"Jamison Crowder",NYJ,BUF,"Sun 01:00 EDT",WR,3.7%,6000,WR,5.1%,5200
"Christopher Herndon",NYJ,BUF,"Sun 01:00 EDT",TE,3.7%,4800,TE,6.2%,3300
"J.K. Dobbins",BAL,CLE,"Sun 01:00 EDT",RB,3.7%,5200,RB,3.6%,5000
"A.J. Green",CIN,LAC,"Sun 04:05 EDT",WR,3.6%,6200,WR,4.5%,5700
"Aaron Jones",GB,MIN,"Sun 01:00 EDT",RB,3.6%,7800,RB,3.8%,6900
"Derek Carr",LV,CAR,"Sun 01:00 EDT",QB,3.5%,7100,QB,3.6%,5900
"Tevin Coleman",SF,ARI,"Sun 04:25 EDT",RB,3.5%,5400,RB,3.9%,4200
"James White",NE,MIA,"Sun 01:00 EDT",RB,3.3%,5300,RB,3.0%,6000
"DeVante Parker",MIA,NE,"Sun 01:00 EDT",WR,3.3%,6700,WR,4.4%,6000
"Kyler Murray",ARI,SF,"Sun 04:25 EDT",QB,3.3%,7700,QB,3.4%,6400
"Odell Beckham",CLE,BAL,"Sun 01:00 EDT",WR,3.2%,6900,WR,4.3%,5900
"Jared Cook",NO,TB,"Sun 04:25 EDT",TE,3.1%,5900,TE,3.7%,5500
"Drew Brees",NO,TB,"Sun 04:25 EDT",QB,3.1%,8100,QB,3.1%,6800
"Jack Doyle",IND,JAC,"Sun 01:00 EDT",TE,3.0%,5300,TE,5.0%,3600
"Sony Michel",NE,MIA,"Sun 01:00 EDT",RB,2.9%,6000,RB,3.2%,4600
"James Robinson",JAC,IND,"Sun 01:00 EDT",RB,2.9%,4500,RB,3.0%,4000
"Tyler Boyd",CIN,LAC,"Sun 04:05 EDT",WR,2.8%,6100,WR,3.3%,6100
"Christian Kirk",ARI,SF,"Sun 04:25 EDT",WR,2.8%,5800,WR,3.8%,5000
"Dallas Goedert",PHI,WAS,"Sun 01:00 EDT",TE,2.8%,5200,TE,4.0%,4100
"Devin Singletary",BUF,NYJ,"Sun 01:00 EDT",RB,2.8%,6300,RB,3.0%,5400
"Chris Thompson",JAC,IND,"Sun 01:00 EDT",RB,2.7%,4800,RB,3.3%,4000
"Kenyan Drake",ARI,SF,"Sun 04:25 EDT",RB,2.7%,6600,RB,2.6%,6400
"Tyrod Taylor",LAC,CIN,"Sun 04:05 EDT",QB,2.6%,7000,QB,2.8%,5600
"Hunter Henry",LAC,CIN,"Sun 04:05 EDT",TE,2.6%,6000,TE,3.4%,5300
"John Brown",BUF,NYJ,"Sun 01:00 EDT",WR,2.5%,6100,WR,3.0%,5600
"Matthew Stafford",DET,CHI,"Sun 01:00 EDT",QB,2.5%,7300,QB,2.5%,6200
"Nick Chubb",CLE,BAL,"Sun 01:00 EDT",RB,2.5%,7500,RB,2.7%,6500
"Preston Williams",MIA,NE,"Sun 01:00 EDT",WR,2.5%,5300,WR,3.6%,4500
"Logan Thomas",WAS,PHI,"Sun 01:00 EDT",TE,2.4%,4000,TE,3.9%,2800
"Rex Burkhead",NE,MIA,"Sun 01:00 EDT",RB,2.2%,5000,RB,2.5%,4000
"Rob Gronkowski",TB,NO,"Sun 04:25 EDT",TE,2.2%,5500,TE,2.7%,4900
"Aaron Rodgers",GB,MIN,"Sun 01:00 EDT",QB,2.2%,7500,QB,2.2%,6300
"Austin Hooper",CLE,BAL,"Sun 01:00 EDT",TE,2.2%,5700,TE,2.7%,5100
"Mike Gesicki",MIA,NE,"Sun 01:00 EDT",TE,2.2%,5400,TE,3.1%,4500
"Le'Veon Bell",NYJ,BUF,"Sun 01:00 EDT",RB,2.1%,6500,RB,2.4%,5600
"N'Keal Harry",NE,MIA,"Sun 01:00 EDT",WR,2.1%,5100,WR,2.8%,4400
"Kirk Cousins",MIN,GB,"Sun 01:00 EDT",QB,2.0%,7200,QB,2.2%,5700
"Allen Lazard",GB,MIN,"Sun 01:00 EDT",WR,2.0%,5500,WR,2.6%,4900
"Tyler Eifert",JAC,IND,"Sun 01:00 EDT",TE,1.9%,4600,TE,3.1%,3300
"Corey Clement",PHI,WAS,"Sun 01:00 EDT",RB,1.9%,4500,RB,2.0%,4000
"Baker Mayfield",CLE,BAL,"Sun 01:00 EDT",QB,1.9%,7000,QB,2.0%,5700
"Irv Smith",MIN,GB,"Sun 01:00 EDT",TE,1.9%,4800,TE,3.3%,3100
"Gardner Minshew",JAC,IND,"Sun 01:00 EDT",QB,1.9%,6700,QB,1.8%,5800
"Latavius Murray",NO,TB,"Sun 04:25 EDT",RB,1.8%,5100,RB,1.8%,4600
"Jerick McKinnon",SF,ARI,"Sun 04:25 EDT",RB,1.8%,5000,RB,2.4%,4000
"Jarvis Landry",CLE,BAL,"Sun 01:00 EDT",WR,1.8%,6300,WR,2.2%,5900
"Tarik Cohen",CHI,DET,"Sun 01:00 EDT",RB,1.8%,5200,RB,2.0%,4900
"Alexander Mattison",MIN,GB,"Sun 01:00 EDT",RB,1.8%,4900,RB,2.0%,4200
"Hunter Renfrow",LV,CAR,"Sun 01:00 EDT",WR,1.8%,5200,WR,2.5%,4500
"Bryan Edwards",LV,CAR,"Sun 01:00 EDT",WR,1.8%,4500,WR,2.3%,4200
"Zack Moss",BUF,NYJ,"Sun 01:00 EDT",RB,1.8%,4700,RB,1.8%,4400
"Curtis Samuel",CAR,LV,"Sun 01:00 EDT",WR,1.7%,5500,WR,2.5%,4600
"Kerryon Johnson",DET,CHI,"Sun 01:00 EDT",RB,1.7%,5600,RB,1.9%,4400
"Carlos Hyde",SEA,ATL,"Sun 01:00 EDT",RB,1.6%,5000,RB,1.5%,4600
"Jordan Reed",SF,ARI,"Sun 04:25 EDT",TE,1.6%,4500,TE,2.6%,3000
"Teddy Bridgewater",CAR,LV,"Sun 01:00 EDT",QB,1.6%,6800,QB,1.6%,5900
"Ian Thomas",CAR,LV,"Sun 01:00 EDT",TE,1.6%,5100,TE,2.7%,3400
"Miles Boykin",BAL,CLE,"Sun 01:00 EDT",WR,1.6%,4900,WR,2.2%,4100
"Joshua Kelley",LAC,CIN,"Sun 04:05 EDT",RB,1.6%,4500,RB,1.6%,4300
"Jalen Reagor",PHI,WAS,"Sun 01:00 EDT",WR,1.6%,5200,WR,2.3%,4300
"Mitchell Trubisky",CHI,DET,"Sun 01:00 EDT",QB,1.5%,6900,QB,1.7%,5400
"Brian Hill",ATL,SEA,"Sun 01:00 EDT",RB,1.4%,4700,RB,1.5%,4000
"Russell Gage",ATL,SEA,"Sun 01:00 EDT",WR,1.4%,4800,WR,1.8%,4300
"Dawson Knox",BUF,NYJ,"Sun 01:00 EDT",TE,1.4%,4700,TE,1.9%,3900
"David Montgomery",CHI,DET,"Sun 01:00 EDT",RB,1.4%,5900,RB,1.2%,5900
"Willie Snead",BAL,CLE,"Sun 01:00 EDT",WR,1.3%,5100,WR,2.0%,4000
"Peyton Barber",WAS,PHI,"Sun 01:00 EDT",RB,1.3%,4700,RB,1.4%,4000
"Kareem Hunt",CLE,BAL,"Sun 01:00 EDT",RB,1.3%,5800,RB,1.5%,5100
"Matt Breida",MIA,NE,"Sun 01:00 EDT",RB,1.3%,5200,RB,1.4%,5000
"Ronald Jones",TB,NO,"Sun 04:25 EDT",RB,1.3%,5700,RB,1.3%,5200
"Dante Pettis",SF,ARI,"Sun 04:25 EDT",WR,1.3%,5000,WR,2.1%,3700
"Cole Beasley",BUF,NYJ,"Sun 01:00 EDT",WR,1.2%,5400,WR,1.7%,4800
"Greg Olsen",SEA,ATL,"Sun 01:00 EDT",TE,1.2%,4900,TE,1.7%,4000
"Jimmy Graham",CHI,DET,"Sun 01:00 EDT",TE,1.2%,5000,TE,1.7%,3800
"C.J. Uzomah",CIN,LAC,"Sun 04:05 EDT",TE,1.2%,4600,TE,1.7%,3800
"Jordan Howard",MIA,NE,"Sun 01:00 EDT",RB,1.2%,5500,RB,1.2%,5100
"Trent Taylor",SF,ARI,"Sun 04:25 EDT",WR,1.2%,4600,WR,1.6%,3900
"Tre'Quan Smith",NO,TB,"Sun 04:25 EDT",WR,1.2%,4700,WR,1.7%,4000
"Marquez Valdes-Scantling",GB,MIN,"Sun 01:00 EDT",WR,1.2%,4700,WR,1.6%,4100
"Larry Fitzgerald",ARI,SF,"Sun 04:25 EDT",WR,1.1%,5300,WR,1.6%,4500
"Kyle Rudolph",MIN,GB,"Sun 01:00 EDT",TE,1.1%,5100,TE,1.7%,3700
"Chris Conley",JAC,IND,"Sun 01:00 EDT",WR,1.1%,5100,WR,1.7%,4000
"Devontae Booker",LV,CAR,"Sun 01:00 EDT",RB,1.1%,4600,RB,1.2%,4000
"Robby Anderson",CAR,LV,"Sun 01:00 EDT",WR,1.1%,5600,WR,1.5%,4700
"Jalen Richard",LV,CAR,"Sun 01:00 EDT",RB,1.1%,4800,RB,1.1%,4700
"Robert Tonyan",GB,MIN,"Sun 01:00 EDT",TE,1.1%,4200,TE,2.1%,2500
"Danny Amendola",DET,CHI,"Sun 01:00 EDT",WR,1.0%,5100,WR,1.2%,4800
"Maxx Williams",ARI,SF,"Sun 04:25 EDT",TE,1.0%,4300,TE,1.7%,3100
"Marvin Hall",DET,CHI,"Sun 01:00 EDT",WR,1.0%,4700,WR,1.4%,3900
"Zach Pascal",IND,JAC,"Sun 01:00 EDT",WR,1.0%,5400,WR,1.5%,4200
"Chase Edmonds",ARI,SF,"Sun 04:25 EDT",RB,1.0%,5000,RB,1.1%,4400
"D'Andre Swift",DET,CHI,"Sun 01:00 EDT",RB,1.0%,5100,RB,1.0%,4900
"LeSean McCoy",TB,NO,"Sun 04:25 EDT",RB,0.9%,5300,RB,1.1%,4100
"Phillip Dorsett",SEA,ATL,"Sun 01:00 EDT",WR,0.9%,4800,WR,1.1%,4200
"Mo Alie-Cox",IND,JAC,"Sun 01:00 EDT",TE,0.9%,4000,TE,1.7%,2600
"O.J. Howard",TB,NO,"Sun 04:25 EDT",TE,0.9%,4700,TE,1.2%,3700
"Auden Tate",CIN,LAC,"Sun 04:05 EDT",WR,0.9%,4500,WR,1.3%,3800
"Dwayne Haskins",WAS,PHI,"Sun 01:00 EDT",QB,0.9%,6500,QB,0.9%,5000
"Devin Asiasi",NE,MIA,"Sun 01:00 EDT",TE,0.9%,4100,TE,1.2%,3500
"Frank Gore",NYJ,BUF,"Sun 01:00 EDT",RB,0.8%,4800,RB,0.9%,4000
"Ryan Fitzpatrick",MIA,NE,"Sun 01:00 EDT",QB,0.8%,6400,QB,0.8%,5300
"Breshad Perriman",NYJ,BUF,"Sun 01:00 EDT",WR,0.8%,5800,WR,1.1%,4900
"Tyler Kroft",BUF,NYJ,"Sun 01:00 EDT",TE,0.8%,4300,TE,1.4%,2800
"Nelson Agholor",LV,CAR,"Sun 01:00 EDT",WR,0.8%,4900,WR,1.2%,3800
"Damiere Byrd",NE,MIA,"Sun 01:00 EDT",WR,0.8%,4600,WR,1.3%,3200
"Sam Darnold",NYJ,BUF,"Sun 01:00 EDT",QB,0.8%,6800,QB,0.8%,5500
"Jakobi Meyers",NE,MIA,"Sun 01:00 EDT",WR,0.8%,4700,WR,1.2%,3500
"DeeJay Dallas",SEA,ATL,"Sun 01:00 EDT",RB,0.8%,4500,RB,0.9%,4000
"Giovani Bernard",CIN,LAC,"Sun 04:05 EDT",RB,0.7%,4900,RB,0.8%,4400
"Ryan Griffin",NYJ,BUF,"Sun 01:00 EDT",TE,0.7%,4300,TE,1.1%,3400
"Nick Boyle",BAL,CLE,"Sun 01:00 EDT",TE,0.7%,4600,TE,1.1%,3300
"Jakeem Grant",MIA,NE,"Sun 01:00 EDT",WR,0.7%,4500,WR,0.9%,3900
"J.D. McKissic",WAS,PHI,"Sun 01:00 EDT",RB,0.7%,4500,RB,0.8%,4000
"Leonard Fournette",TB,NO,"Sun 04:25 EDT",RB,0.7%,6900,RB,0.8%,6000
"Brandon Aiyuk",SF,ARI,"Sun 04:25 EDT",WR,0.7%,5200,WR,0.9%,4500
"Adrian Peterson",DET,CHI,"Sun 01:00 EDT",RB,0.6%,5100,RB,0.6%,4500
"Cordarrelle Patterson",CHI,DET,"Sun 01:00 EDT",WR,0.6%,5000,WR,1.0%,3400
"Greg Ward",PHI,WAS,"Sun 01:00 EDT",WR,0.6%,4800,WR,0.8%,4200
"Ito Smith",ATL,SEA,"Sun 01:00 EDT",RB,0.6%,4800,RB,0.6%,4300
"Dontrelle Inman",WAS,PHI,"Sun 01:00 EDT",WR,0.5%,4500,WR,0.8%,3400
"John Ross",CIN,LAC,"Sun 04:05 EDT",WR,0.5%,5200,WR,0.8%,4200
"Chad Beebe",MIN,GB,"Sun 01:00 EDT",WR,0.5%,4500,WR,0.8%,3500
"Olabisi Johnson",MIN,GB,"Sun 01:00 EDT",WR,0.5%,4900,WR,0.8%,4100
"Jalen Guyton",LAC,CIN,"Sun 04:05 EDT",WR,0.5%,4500,WR,0.9%,3000
"Quintez Cephus",DET,CHI,"Sun 01:00 EDT",WR,0.5%,4500,WR,0.8%,3300
"Justin Jefferson",MIN,GB,"Sun 01:00 EDT",WR,0.5%,5000,WR,0.7%,4800
"Ted Ginn",CHI,DET,"Sun 01:00 EDT",WR,0.4%,4800,WR,0.6%,3700
"Rashard Higgins",CLE,BAL,"Sun 01:00 EDT",WR,0.4%,4600,WR,0.5%,4300
"Mike Williams",LAC,CIN,"Sun 04:05 EDT",WR,0.4%,5900,WR,0.6%,4700
"Justin Watson",TB,NO,"Sun 04:25 EDT",WR,0.4%,4700,WR,0.6%,3800
"Justin Jackson",LAC,CIN,"Sun 04:05 EDT",RB,0.4%,4500,RB,0.4%,4400
"Will Dissly",SEA,ATL,"Sun 01:00 EDT",TE,0.4%,4900,TE,0.7%,3400
"Andy Isabella",ARI,SF,"Sun 04:25 EDT",WR,0.4%,4600,WR,0.6%,3600
"Joe Reed",LAC,CIN,"Sun 04:05 EDT",WR,0.4%,4500,WR,0.5%,3900
"Dan Arnold",ARI,SF,"Sun 04:25 EDT",TE,0.3%,4400,TE,0.5%,3500
"Olamide Zaccheaus",ATL,SEA,"Sun 01:00 EDT",WR,0.3%,4500,WR,0.5%,3000
"Dede Westbrook",JAC,IND,"Sun 01:00 EDT",WR,0.0%,5400,WR,0.0%,4600
"Ke'Shawn Vaughn",TB,NO,"Sun 04:25 EDT",RB,0.0%,5000,RB,0.0%,4500
