  Week 1,,,
 Date,Time (ET), Away Team, Home Team
,4:25 PM, Baltimore Ravens, Seattle Seahawks
,4:25 PM, New Orleans Saints, Chicago Bears
,8:20 PM, Philadelphia Eagles, Dallas Cowboys
 Mon Oct 21,8:15 PM, New England Patriots, New York Jets
,,,
" Bye: Carolina, Cleveland, Pittsburgh, Tampa Bay",,,
,,,
  Week 8,,,
 Date,Time (ET), Away Team, Home Team
 Thu Oct 24,8:20 PM, Washington Redskins, Minnesota Vikings
 Sun Oct 27,1:00 PM, Arizona Cardinals, New Orleans Saints
,1:00 PM, Cincinnati Bengals, Los Angeles Rams ¹
,1:00 PM, Los Angeles Chargers, Chicago Bears
,1:00 PM, New York Giants, Detroit Lions
,1:00 PM, New York Jets, Jacksonville Jaguars
,1:00 PM, Oakland Raiders, Houston Texans
,1:00 PM, Philadelphia Eagles, Buffalo Bills
,1:00 PM, Seattle Seahawks, Atlanta Falcons
,1:00 PM, Tampa Bay Buccaneers, Tennessee Titans
,4:05 PM, Carolina Panthers, San Francisco 49ers
,4:25 PM, Cleveland Browns, New England Patriots
,4:25 PM, Denver Broncos, Indianapolis Colts
,8:20 PM, Green Bay Packers, Kansas City Chiefs
 Mon Oct 28,8:15 PM, Miami Dolphins, Pittsburgh Steelers
,,,
 ¹ This game is being played in London.,,,
,,,
" Bye: Baltimore, Dallas",,,
,,,
  Week 9,,,
 Date,Time (ET), Away Team, Home Team
 Thu Oct 31,8:20 PM, San Francisco 49ers, Arizona Cardinals
 Sun Nov 3,9:30 AM, Houston Texans, Jacksonville Jaguars ¹
,1:00 PM, Chicago Bears, Philadelphia Eagles
,1:00 PM, Indianapolis Colts, Pittsburgh Steelers
,1:00 PM, Minnesota Vikings, Kansas City Chiefs
,1:00 PM, New York Jets, Miami Dolphins
,1:00 PM, Tennessee Titans, Carolina Panthers
,1:00 PM, Washington Redskins, Buffalo Bills
,4:05 PM, Detroit Lions, Oakland Raiders
,4:05 PM, Tampa Bay Buccaneers, Seattle Seahawks
,4:25 PM, Cleveland Browns, Denver Broncos
,4:25 PM, Green Bay Packers, Los Angeles Chargers
,8:20 PM, New England Patriots, Baltimore Ravens
 Mon Nov 4,8:15 PM, Dallas Cowboys, New York Giants
,,,
 ¹ This game is being played in London.,,,
,,,
" Bye: Atlanta, Cincinnati, Los Angeles, New Orleans",,,
,,,
  Week 10,,,
 Date,Time (ET), Away Team, Home Team
 Thu Nov 7,8:20 PM, Los Angeles Chargers, Oakland Raiders
 Sun Nov 10,1:00 PM, Arizona Cardinals, Tampa Bay Buccaneers
,1:00 PM, Atlanta Falcons, New Orleans Saints
,1:00 PM, Baltimore Ravens, Cincinnati Bengals
,1:00 PM, Buffalo Bills, Cleveland Browns
,1:00 PM, Carolina Panthers, Green Bay Packers
,1:00 PM, Detroit Lions, Chicago Bears
,1:00 PM, Kansas City Chiefs, Tennessee Titans
,1:00 PM, New York Giants, New York Jets
,4:05 PM, Miami Dolphins, Indianapolis Colts
,4:25 PM, Los Angeles Rams, Pittsburgh Steelers
,8:20 PM, Minnesota Vikings, Dallas Cowboys
 Mon Nov 11,8:15 PM, Seattle Seahawks, San Francisco 49ers
,,,
" Bye: Denver, Houston, Jacksonville, New England, Philadelphia, Washington",,,
,,,
  Week 11,,,
 Date,Time (ET), Away Team, Home Team
 Thu Nov 14,8:20 PM, Pittsburgh Steelers, Cleveland Browns
 Sun Nov 17,1:00 PM, Atlanta Falcons, Carolina Panthers
,1:00 PM, Buffalo Bills, Miami Dolphins
,1:00 PM, Dallas Cowboys, Detroit Lions
,1:00 PM, Denver Broncos, Minnesota Vikings
,1:00 PM, Houston Texans, Baltimore Ravens
,1:00 PM, Jacksonville Jaguars, Indianapolis Colts
,1:00 PM, New Orleans Saints, Tampa Bay Buccaneers
,1:00 PM, New York Jets, Washington Redskins
,4:05 PM, Arizona Cardinals, San Francisco 49ers
,4:25 PM, Cincinnati Bengals, Oakland Raiders
,4:25 PM, New England Patriots, Philadelphia Eagles
,8:20 PM, Chicago Bears, Los Angeles Rams
 Mon Nov 18,8:15 PM, Kansas City Chiefs, Los Angeles Chargers ¹
,,,
 ¹ This game is being played in Mexico City.,,,
,,,
" Bye: Green Bay, N.Y. Giants, Seattle, Tennessee",,,
,,,
  Week 12,,,
 Date,Time (ET), Away Team, Home Team
 Thu Nov 21,8:20 PM, Indianapolis Colts, Houston Texans
 Sun Nov 24,1:00 PM, Carolina Panthers, New Orleans Saints
,1:00 PM, Denver Broncos, Buffalo Bills
,1:00 PM, Detroit Lions, Washington Redskins
,1:00 PM, Miami Dolphins, Cleveland Browns
,1:00 PM, New York Giants, Chicago Bears
,1:00 PM, Oakland Raiders, New York Jets
,1:00 PM, Pittsburgh Steelers, Cincinnati Bengals
,1:00 PM, Tampa Bay Buccaneers, Atlanta Falcons
,4:05 PM, Jacksonville Jaguars, Tennessee Titans
,4:25 PM, Dallas Cowboys, New England Patriots
,4:25 PM, Green Bay Packers, San Francisco 49ers
,8:20 PM, Seattle Seahawks, Philadelphia Eagles
 Mon Nov 25,8:15 PM, Baltimore Ravens, Los Angeles Rams
,,,
" Bye: Arizona, Kansas City, Los Angeles, Minnesota",,,
,,,
  Week 13,,,
 Date,Time (ET), Away Team, Home Team
 Thu Nov 28,12:30 PM, Chicago Bears, Detroit Lions
,4:30 PM, Buffalo Bills, Dallas Cowboys
,8:20 PM, New Orleans Saints, Atlanta Falcons
 Sun Dec 1,1:00 PM, Green Bay Packers, New York Giants
,1:00 PM, New York Jets, Cincinnati Bengals
,1:00 PM, Oakland Raiders, Kansas City Chiefs
,1:00 PM, Philadelphia Eagles, Miami Dolphins
,1:00 PM, San Francisco 49ers, Baltimore Ravens
,1:00 PM, Tampa Bay Buccaneers, Jacksonville Jaguars
,1:00 PM, Tennessee Titans, Indianapolis Colts
,1:00 PM, Washington Redskins, Carolina Panthers
,4:05 PM, Los Angeles Rams, Arizona Cardinals
,4:25 PM, Cleveland Browns, Pittsburgh Steelers
,4:25 PM, Los Angeles Chargers, Denver Broncos
,8:20 PM, New England Patriots, Houston Texans
 Mon Dec 2,8:15 PM, Minnesota Vikings, Seattle Seahawks
  Week 14,,,
 Date,Time (ET), Away Team, Home Team
 Thu Dec 5,8:20 PM, Dallas Cowboys, Chicago Bears
 Sun Dec 8,1:00 PM, Baltimore Ravens, Buffalo Bills
,1:00 PM, Carolina Panthers, Atlanta Falcons
,1:00 PM, Cincinnati Bengals, Cleveland Browns
,1:00 PM, Denver Broncos, Houston Texans
,1:00 PM, Detroit Lions, Minnesota Vikings
,1:00 PM, Indianapolis Colts, Tampa Bay Buccaneers
,1:00 PM, Miami Dolphins, New York Jets
,1:00 PM, San Francisco 49ers, New Orleans Saints
,1:00 PM, Washington Redskins, Green Bay Packers
,4:05 PM, Los Angeles Chargers, Jacksonville Jaguars
,4:25 PM, Kansas City Chiefs, New England Patriots
,4:25 PM, Pittsburgh Steelers, Arizona Cardinals
,4:25 PM, Tennessee Titans, Oakland Raiders
,8:20 PM, Seattle Seahawks, Los Angeles Rams
 Mon Dec 9,8:15 PM, New York Giants, Philadelphia Eagles
  Week 15,,,
 Date,Time (ET), Away Team, Home Team
 Thu Dec 12,8:20 PM, New York Jets, Baltimore Ravens
 Sun Dec 15,1:00 PM, Buffalo Bills, Pittsburgh Steelers
,1:00 PM, Chicago Bears, Green Bay Packers
,1:00 PM, Denver Broncos, Kansas City Chiefs
,1:00 PM, Houston Texans, Tennessee Titans
,1:00 PM, Miami Dolphins, New York Giants
,1:00 PM, New England Patriots, Cincinnati Bengals
,1:00 PM, Philadelphia Eagles, Washington Redskins
,1:00 PM, Seattle Seahawks, Carolina Panthers
,1:00 PM, Tampa Bay Buccaneers, Detroit Lions
,4:05 PM, Cleveland Browns, Arizona Cardinals
,4:05 PM, Jacksonville Jaguars, Oakland Raiders
,4:25 PM, Atlanta Falcons, San Francisco 49ers
,4:25 PM, Los Angeles Rams, Dallas Cowboys
,8:20 PM, Minnesota Vikings, Los Angeles Chargers
 Mon Dec 16,8:15 PM, Indianapolis Colts, New Orleans Saints
  Week 16,,,
 Date,Time (ET), Away Team, Home Team
 Sun Dec 22,1:00 PM, Baltimore Ravens, Cleveland Browns
,1:00 PM, Buffalo Bills, New England Patriots *
,1:00 PM, Carolina Panthers, Indianapolis Colts
,1:00 PM, Cincinnati Bengals, Miami Dolphins
,1:00 PM, Detroit Lions, Denver Broncos *
,1:00 PM, Houston Texans, Tampa Bay Buccaneers *
,1:00 PM, Jacksonville Jaguars, Atlanta Falcons
,1:00 PM, Los Angeles Rams, San Francisco 49ers *
,1:00 PM, New Orleans Saints, Tennessee Titans
,1:00 PM, New York Giants, Washington Redskins
,1:00 PM, Oakland Raiders, Los Angeles Chargers *
,1:00 PM, Pittsburgh Steelers, New York Jets
,4:25 PM, Arizona Cardinals, Seattle Seahawks
,4:25 PM, Dallas Cowboys, Philadelphia Eagles
,8:20 PM, Kansas City Chiefs, Chicago Bears
 Mon Dec 23,8:15 PM, Green Bay Packers, Minnesota Vikings
,,,
" * Tentative flex schedule game, start time is subject to change.",,,
,,,
  Week 17,,,
 Date,Time (ET), Away Team, Home Team
 Sun Dec 29,1:00 PM, Atlanta Falcons, Tampa Bay Buccaneers
,1:00 PM, Chicago Bears, Minnesota Vikings
,1:00 PM, Cleveland Browns, Cincinnati Bengals
,1:00 PM, Green Bay Packers, Detroit Lions
,1:00 PM, Indianapolis Colts, Jacksonville Jaguars
,1:00 PM, Los Angeles Chargers, Kansas City Chiefs
,1:00 PM, Miami Dolphins, New England Patriots
,1:00 PM, New Orleans Saints, Carolina Panthers
,1:00 PM, New York Jets, Buffalo Bills
,1:00 PM, Philadelphia Eagles, New York Giants
,1:00 PM, Pittsburgh Steelers, Baltimore Ravens
,1:00 PM, Tennessee Titans, Houston Texans
,1:00 PM, Washington Redskins, Dallas Cowboys
,4:25 PM, Arizona Cardinals, Los Angeles Rams
,4:25 PM, Oakland Raiders, Denver Broncos
,4:25 PM, San Francisco 49ers, Seattle Seahawks
