"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"156","Austin Mack",NYG,"vs. ARI"," 7.2","F","-","-","-","2%","Awful"
"157","K.J. Hill",LAC,"vs. ATL"," 7.6","F","-","-1.2","22% (2/9)","3%","Awful"
"158","Joe Reed",LAC,"vs. ATL"," 7.6","F","-","-1.1","0% (0/7)","1%","Great"
"159","Andre Roberts",BUF,"vs. PIT","-","F","-","-0.6","14% (2/14)","3%","Awful"
"160","Trent Sherfield",ARI,"at NYG","-","F","-","-0.5","8% (1/12)","0%","N/A"
"161","Riley Ridley",CHI,"vs. HOU","-","F","-","-0.2","50% (3/6)","5%","Awful"
"162","Juwan Johnson",NO,"at PHI"," 6.6","F","-","-","-","4%","Awful"
"163","Jake Kumerow",BUF,"vs. PIT","-","F","-","-1.2","20% (1/5)","0%","N/A"
"164","Tajae Sharpe",MIN,"at TB","-","F","-","+1.3","25% (2/8)","3%","Awful"
"165","DeAndre Carter",CHI,"vs. HOU","-","F","-","0.0","23% (3/13)","0%","N/A"
"166","Malik Turner",DAL,"at CIN","-","F","-","-0.2","22% (2/9)","0%","N/A"
"167","Austin Carr",NO,"at PHI","-","F","-","-1.4","0% (0/6)","0%","N/A"
"168","Nsimba Webster",LAR,"vs. NE","-","F","-","-0.1","0% (0/5)","0%","N/A"
"169","Chris Moore",BAL,"at CLE","-","F","-","-0.6","0% (0/6)","0%","N/A"
"170","River Cracraft",SF,"vs. WAS","-","F","-","-","-","13%","Awful"
"171","Nick Westbrook-Ikhine",TEN,"at JAC","-","F","-","-","-","3%","Awful"
"172","Terry Godwin",JAC,"vs. TEN","-","F","-","-","-","0%","N/A"
