Player,Ownership
Krishawn Hogan,0.10%
Josh Hill,0.10%
Hale Hentges,0.10%
Wendell Smallwood,0.10%
Jeremy Sprinkle,0.10%
Steven Sims,0.10%
Justin Watson,0.10%
Cameron Brate,0.10%
Diontae Spencer,0.10%
Tim Patrick,0.10%
Fred Brown,0.10%
Dare Ogunbowale,0.10%
Scotty Miller,0.10%
Peyton Barber,0.10%
Kelvin Harmon,0.10%
Bilal Powell,0.10%
Tavon Austin,0.10%
Logan Thomas,0.10%
Ashton Dulin,0.10%
Ventell Bryant,0.10%
Tony Pollard,0.10%
Jamize Olawale,0.10%
Jesse James,0.10%
Marvin Hall,0.10%
Vyncint Smith,0.10%
Ty Montgomery,0.10%
Braxton Berrios,0.10%
Ryan Griffin,0.10%
Paul Perkins,0.10%
Trevon Wesco,0.10%
DaeSean Hamilton,0.10%
Blake Jarwin,0.10%
Tyler Kroft,0.10%
Frank Gore,0.10%
Andre Roberts,0.10%
Robert Foster,0.10%
Patrick DiMarco,0.10%
Isaiah McKenzie,0.10%
Patrick Laird,0.10%
Myles Gaskin,0.10%
Josh Oliver,0.10%
Devontae Booker,0.10%
C.J. Board,0.10%
Devine Ozigbo,0.10%
Clive Walford,0.10%
Ryquell Armstead,0.10%
Hayden Hurst,0.10%
Keelan Cole,0.10%
Andrew Beck,0.10%
Kenny Stills,0.10%
Josh Doctson,0.10%
C.J. Ham,0.10%
Nick Boyle,0.10%
Laquon Treadwell,0.10%
Olabisi Johnson,0.10%
DeAndre Carter,0.10%
Justice Hill,0.10%
Miles Boykin,0.10%
Seth Roberts,0.10%
Taiwan Jones,0.10%
Gus Edwards,0.10%
Steven Mitchell,0.10%
J.P. Holtz,0.00%
Cooper Kupp,0.00%
Damien Williams,0.00%
Tyreek Hill,0.00%
LeSean McCoy,0.00%
Darrel Williams,0.00%
Josh Reynolds,0.00%
Mike Thomas,0.00%
JoJo Natson,0.00%
Gerald Everett,0.00%
Sammy Watkins,0.00%
Robert Woods,0.00%
Malcolm Brown,0.00%
Darrell Henderson,0.00%
Todd Gurley,0.00%
Keenan Allen,0.00%
Virgil Green,0.00%
Hunter Henry,0.00%
Tyler Higbee,0.00%
Troymaine Pope,0.00%
Lance Kendricks,0.00%
Jason Moore,0.00%
Andre Patton,0.00%
Byron Pringle,0.00%
Mecole Hardman,0.00%
Travis Kelce,0.00%
Melvin Gordon,0.00%
Mike Williams,0.00%
Austin Ekeler,0.00%
Demarcus Robinson,0.00%
Nick Bawden,0.00%
Davion Davis,0.00%
Ryan Nall,0.00%
Tarik Cohen,0.00%
Allen Robinson,0.00%
Anthony Miller,0.00%
Cordarrelle Patterson,0.00%
Javon Wims,0.00%
David Montgomery,0.00%
Taylor Gabriel,0.00%
Ben Braunecker,0.00%
