"Pos","Player","Tm","Opp","DK Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","DK LEV"
"RB","Darrell Henderson","LAR","@BUF","5400","0.5%","21%","2%","2%","4.04"
"RB","Josh Jacobs","LV","@NE","7300","3.0%","40%","9%","12%","4.02"
"WR","Chase Claypool","PIT","HOU","3700","0.5%","24%","2%","2%","3.94"
"DEF","Seattle Seahawks","SEA","DAL","2900","0.5%","17%","1%","2%","3.91"
"WR","Henry Ruggs","LV","@NE","5000","0.5%","21%","2%","2%","3.80"
"QB","Jeff Driskel","DEN","TB","5300","0.5%","25%","5%","2%","3.75"
"TE","Dan Arnold","ARI","DET","2800","0.5%","23%","1%","2%","3.73"
"TE","Jimmy Graham","CHI","@ATL","3400","0.5%","22%","1%","2%","3.48"
"RB","Zack Moss","BUF","LAR","4500","0.5%","21%","1%","2%","3.47"
"TE","Drew Sample","CIN","@PHI","3500","0.5%","22%","1%","2%","3.46"
"TE","Greg Olsen","SEA","DAL","4200","0.5%","20%","1%","2%","3.27"
"RB","Joe Mixon","CIN","@PHI","5900","3.0%","39%","7%","9%","3.10"
"WR","Scott Miller","TB","@DEN","4000","0.5%","21%","2%","2%","3.08"
"RB","Tarik Cohen","CHI","@ATL","4300","0.5%","22%","1%","2%","3.01"
"RB","Sony Michel","NE","LV","4400","0.5%","19%","1%","1%","3.00"
"QB","Sam Darnold","NYJ","@IND","5000","0.5%","22%","4%","1%","2.99"
"WR","Olabisi Johnson","MIN","TEN","3600","0.5%","22%","2%","1%","2.96"
"DEF","Las Vegas Raiders","LV","@NE","2300","0.5%","20%","1%","1%","2.95"
"RB","Carlos Hyde","SEA","DAL","4300","0.5%","19%","1%","1%","2.86"
"WR","Randall Cobb","HOU","@PIT","4400","0.5%","20%","1%","1%","2.85"
"WR","Bryan Edwards","LV","@NE","3700","0.5%","21%","1%","1%","2.74"
"WR","D.J. Moore","CAR","@LAC","6100","3.0%","40%","8%","8%","2.60"
"WR","Josh Malone","NYJ","@IND","3000","0.5%","22%","1%","1%","2.59"
"TE","Irv Smith Jr.","MIN","TEN","2800","0.5%","20%","1%","1%","2.54"
"RB","Alexander Mattison","MIN","TEN","4000","0.5%","20%","1%","1%","2.52"
"TE","Ian Thomas","CAR","@LAC","3000","0.5%","20%","1%","1%","2.51"
