Player,Position,Team,Opp,Salary,Floor,Value,Ceiling,Value,Vol
Jacquizz Rodgers,RB,TB,CAR,3200,0.5,-5.16,16.2,10.56,0.277539412
Jordan Matthews,WR,PHI,WAS,3000,0,-5.91,15.2,9.33,0.277512762
John Brown,WR,BAL,@ATL,4400,0,-8.67,18.4,9.74,0.277390437
Drew Brees,QB,NO,@DAL,6200,11.1,-6.41,32.9,15.37,0.276860277
Corey Clement,RB,PHI,WAS,3300,0.1,-5.77,16,10.19,0.276783473
Lance Kendricks,TE,GB,ARI,2600,0,-4.73,14.1,9.33,0.276523751
Luke Stocker,TE,TEN,NYJ,2500,0,-4.55,13.8,9.25,0.276
Larry Fitzgerald,WR,ARI,@GB,5100,3.3,-6.71,23,12.96,0.275855177
Patrick Mahomes,QB,KC,@OAK,7600,14.1,-7.36,38.1,16.6,0.275298881
Tyler Lockett,WR,SEA,SF,5800,4,-7.47,24.9,13.5,0.274430445
Mike Davis,RB,SEA,SF,3800,0.1,-6.58,17,10.29,0.274154202
Jesse James,TE,PIT,LAC,3200,0.4,-5.46,15.9,10.11,0.274003878
Nick Boyle,TE,BAL,@ATL,2500,0,-4.55,13.7,9.19,0.274
Alfred Blue,RB,HOU,CLE,3500,0,-6.2,16.2,9.97,0.273829979
Nyheim Hines,RB,IND,@JAX,4100,0.9,-6.31,18.4,11.16,0.273304083
Josh Adams,RB,PHI,WAS,4700,3,-5.36,21.7,13.34,0.272767534
Doug Baldwin,WR,SEA,SF,5500,2.5,-8.29,22.7,11.83,0.272376744
Alshon Jeffery,WR,PHI,WAS,5400,2.7,-7.91,22.7,12.04,0.272165527
Chris Hogan,WR,NE,MIN,3500,0,-6.9,16.1,9.22,0.27213967
Ben Watson,TE,NO,@DAL,3000,0,-5.46,14.9,9.4,0.272035537
Bennie Fowler,WR,NYG,CHI,3000,0,-5.91,14.9,8.95,0.272035537
Eric Ebron,TE,IND,@JAX,4200,3.6,-4.05,21.2,13.53,0.271573896
Philip Rivers,QB,LAC,@PIT,5700,9.7,-6.39,30.2,14.09,0.271529133
Jalen Richard,RB,OAK,KC,4300,4.7,-2.92,22.5,14.89,0.271447455
Jared Goff,QB,LAR,@DET,6400,12.2,-5.87,33.9,15.8,0.27125
Zach Zenner,RB,DET,LAR,3000,0,-5.31,14.8,9.47,0.270209795
Devin Funchess,WR,CAR,@TB,5000,1.1,-8.76,20.2,10.33,0.27011479
Duke Johnson,RB,CLE,@HOU,4400,3.1,-4.7,21,13.19,0.269852653
Keke Coutee,WR,HOU,CLE,4700,2.3,-6.97,20.8,11.56,0.269850234
T.J. Jones,WR,DET,LAR,3100,0,-6.11,15,8.87,0.269407953
Ronald Jones,RB,TB,CAR,3100,0,-5.49,15,9.48,0.269407953
Taysom Hill,QB,NO,@DAL,4000,-1.3,-12.64,15.7,4.35,0.268793601
Demarcus Robinson,WR,KC,@OAK,3000,0,-5.91,14.7,8.76,0.268384053
Chris Thompson,RB,WAS,@PHI,4500,4,-3.92,22,14.05,0.268328157
Jordan Akins,TE,HOU,CLE,2500,0,-4.55,13.4,8.9,0.268
Durham Smythe,TE,MIA,BUF,2500,0,-4.55,13.4,8.87,0.268
Marquez Valdes-Scantling,WR,GB,ARI,5200,0.9,-9.39,20.2,9.96,0.267642845
Kyle Juszczyk,RB,SF,@SEA,3100,0.3,-5.22,15.2,9.69,0.2676119
Keith Kirkwood,WR,NO,@DAL,3400,0,-6.7,15.6,8.9,0.267537793
Greg Olsen,TE,CAR,@TB,4100,2.1,-5.36,19.2,11.71,0.267057133
Jarvis Landry,WR,CLE,@HOU,5300,3.9,-6.53,23.3,12.9,0.266479494
Demetrius Harris,TE,KC,@OAK,2500,0,-4.55,13.3,8.73,0.266
Corey Davis,WR,TEN,NYJ,5500,4.2,-6.66,23.9,13.04,0.265634746
Phillip Lindsay,RB,DEN,@CIN,5400,6.9,-2.64,26.4,16.82,0.265361389
Ryan Grant,WR,IND,@JAX,3200,0,-6.3,15,8.65,0.265165043
Kenneth Dixon,RB,BAL,@ATL,3000,0,-5.31,14.5,9.23,0.264732569
Jordan Thomas,TE,HOU,CLE,2800,0,-5.1,14,8.95,0.264575131
LeSean McCoy,RB,BUF,@MIA,4900,5,-3.71,23.5,14.86,0.264285714
C.J. Uzomah,TE,CIN,DEN,3400,2.1,-4.06,17.5,11.32,0.264107821
Giovani Bernard,RB,CIN,DEN,4000,0.2,-6.85,16.9,9.85,0.264050185
Theo Riddick,RB,DET,LAR,4700,5.5,-2.77,23.6,15.24,0.264015635
Austin Ekeler,RB,LAC,@PIT,5400,7.8,-1.78,27.2,17.64,0.264000561
Josh Hill,TE,NO,@DAL,2500,0,-4.55,13.2,8.62,0.264
Dalton Schultz,TE,DAL,NO,2500,0,-4.55,13.2,8.64,0.264
Breshad Perriman,WR,CLE,@HOU,3000,0,-5.91,14.4,8.44,0.262906828
Trey Burton,TE,CHI,@NYG,3800,1.8,-5.14,18,11.1,0.262798702
Tyrell Williams,WR,LAC,@PIT,4600,0,-9.06,17.8,8.74,0.262446682
Chris Ivory,RB,BUF,@MIA,3400,0,-6.02,15.3,9.27,0.262392835
Logan Thomas,TE,BUF,@MIA,2500,0,-4.55,13.1,8.55,0.262
Rashaad Penny,RB,SEA,SF,3500,0,-6.2,15.5,9.27,0.261997819
Maurice Harris,WR,WAS,@PHI,3800,0,-7.49,16.1,8.63,0.261176488
Zach Pascal,WR,IND,@JAX,3000,0,-5.91,14.3,8.43,0.261081086
T.Y. Hilton,WR,IND,@JAX,6000,6.3,-5.5,26.5,14.71,0.260780879
Antony Auclair,TE,TB,CAR,2500,0,-4.55,13,8.46,0.26
Rico Gathers,TE,DAL,NO,2500,0,-4.55,13,8.42,0.26
Anthony Firkser,TE,TEN,NYJ,2500,0,-4.55,13,8.46,0.26
Jermaine Gresham,TE,ARI,@GB,2500,0,-4.55,13,8.4,0.26
Kyle Rudolph,TE,MIN,@NE,3600,2.1,-4.42,17.7,11.14,0.26
Laquon Treadwell,WR,MIN,@NE,3200,0,-6.3,14.7,8.44,0.259861742
Allen Robinson,WR,CHI,@NYG,5700,2.6,-8.63,22.2,11.01,0.259608342
Chris Carson,RB,SEA,SF,5200,3.5,-5.73,22.2,13.04,0.259322342
D.J. Moore,WR,CAR,@TB,5600,4,-7.03,23.4,12.34,0.259243405
Amari Cooper,WR,DAL,NO,6200,7,-5.19,27.4,15.14,0.259080259
Gus Edwards,RB,BAL,@ATL,4800,3.9,-4.57,21.8,13.34,0.258364245
Blake Bell,TE,JAX,IND,2500,0,-4.55,12.9,8.32,0.258
Brian Parker,TE,DEN,@CIN,2500,0,-4.55,12.9,8.4,0.258
Vance McDonald,TE,PIT,LAC,3800,1.3,-5.59,17.2,10.27,0.25793206
Josh Gordon,WR,NE,MIN,5900,4.3,-7.34,24.1,12.43,0.257774044
Adrian Peterson,RB,WAS,@PHI,5100,2.9,-6.11,21.3,12.3,0.257651535
Emmanuel Sanders,WR,DEN,@CIN,6300,7.5,-4.92,27.9,15.47,0.257015842
Kenny Golladay,WR,DET,LAR,6700,7.1,-6.12,28.1,14.9,0.256555833
Marlon Mack,RB,IND,@JAX,5000,4.2,-4.62,22.3,13.42,0.255972655
Tim Patrick,WR,DEN,@CIN,3000,0,-5.91,14,8.14,0.25560386
Jordan Leggett,TE,NYJ,@TEN,2500,0,-4.55,12.7,8.13,0.254
Darren Fells,TE,CLE,@HOU,2500,0,-4.55,12.7,8.19,0.254
Garrett Celek,TE,SF,@SEA,2500,0,-4.55,12.7,8.11,0.254
Andre Holmes,WR,BUF,@MIA,3000,0,-5.91,13.9,8,0.253778118
Austin Hooper,TE,ATL,BAL,3900,2.4,-4.71,18.2,11.09,0.253002483
Devontae Booker,RB,DEN,@CIN,3400,0,-6.02,14.7,8.68,0.25210292
Eric Tomlinson,TE,NYJ,@TEN,2500,0,-4.55,12.6,8.02,0.252
Scott Simonson,TE,NYG,CHI,2500,0,-4.55,12.6,8.07,0.252
Tarik Cohen,RB,CHI,@NYG,5600,4.8,-5.15,23.6,13.7,0.251225567
Matt Breida,RB,SF,@SEA,5800,6.3,-3.96,25.4,15.1,0.250795287
Aldrick Robinson,WR,MIN,@NE,3200,0,-6.3,14.1,7.81,0.24925514
Robert Woods,WR,LAR,@DET,6900,7,-6.64,27.7,14.07,0.249198716
Rashard Higgins,WR,CLE,@HOU,3400,0,-6.7,14.5,7.84,0.248672948
Dion Lewis,RB,TEN,NYJ,5300,5.8,-3.53,23.9,14.54,0.248622621
Brandin Cooks,WR,LAR,@DET,7000,7.5,-6.27,28.3,14.51,0.248607551
Tyler Boyd,WR,CIN,DEN,6100,4.1,-7.95,23.5,11.48,0.248391547
Austin Carr,WR,NO,@DAL,3000,0,-5.91,13.6,7.74,0.248300893
Trent Sherfield,WR,ARI,@GB,3000,0,-5.91,13.6,7.66,0.248300893
Marcedes Lewis,TE,GB,ARI,2500,0,-4.55,12.4,7.82,0.248
Logan Paulsen,TE,ATL,BAL,2500,0,-4.55,12.4,7.81,0.248
C.J. Beathard,QB,SF,@SEA,4700,-0.8,-14.13,16.2,2.89,0.247970486
Aaron Jones,RB,GB,ARI,6700,9.4,-2.41,29.6,17.77,0.246782278
Jimmy Graham,TE,GB,ARI,4000,1.5,-5.81,17.1,9.77,0.246657657
Lee Smith,TE,OAK,KC,2500,0,-4.55,12.3,7.74,0.246
David Morgan,TE,MIN,@NE,2500,0,-4.55,12.3,7.7,0.246
Darren Sproles,RB,PHI,WAS,3500,0,-6.2,14.5,8.31,0.245094734
Mark Ingram,RB,NO,@DAL,5700,4.3,-5.81,22.8,12.69,0.245038486
Latavius Murray,RB,MIN,@NE,3700,0,-6.55,14.9,8.34,0.244954491
Jaron Brown,WR,SEA,SF,3000,0,-5.91,13.4,7.49,0.244649409
Trenton Cannon,RB,NYJ,@TEN,3000,0,-5.31,13.4,8.09,0.244649409
Randall Cobb,WR,GB,ARI,4500,0.1,-8.73,16.5,7.66,0.244476766
Hayden Hurst,TE,BAL,@ATL,2500,0,-4.55,12.2,7.62,0.244
David Njoku,TE,CLE,@HOU,4300,3,-4.87,19,11.18,0.243997713
James White,RB,NE,MIN,6500,5.2,-6.33,24.8,13.28,0.24310808
Marvin Hall,WR,ATL,BAL,3000,0,-5.91,13.3,7.43,0.242823667
Brice Butler,WR,MIA,BUF,3000,0,-5.91,13.3,7.4,0.242823667
Robert Tonyan,TE,GB,ARI,2500,0,-4.55,12.1,7.53,0.242
Justin Watson,WR,TB,CAR,3000,0,-5.91,13.2,7.32,0.240997925
Anthony Sherman,RB,KC,@OAK,3000,0,-5.31,13.2,7.85,0.240997925
Keenan Allen,WR,LAC,@PIT,7200,8.2,-5.95,28.6,14.44,0.240416306
Ryan Fitzpatrick,QB,TB,CAR,4600,-1.3,-14.36,15,2.01,0.240330389
MyCole Pruitt,TE,TEN,NYJ,2500,0,-4.55,12,7.48,0.24
Julian Edelman,WR,NE,MIN,7100,5,-8.97,25.2,11.21,0.239729895
Sony Michel,RB,NE,MIN,6100,3.3,-7.47,22,11.22,0.239428965
Jared Cook,TE,OAK,KC,4700,4,-4.59,20.4,11.88,0.239218586
Damion Ratley,WR,CLE,@HOU,3000,0,-5.91,13.1,7.22,0.239172183
Isaiah McKenzie,WR,BUF,@MIA,3200,0.1,-6.25,13.6,7.29,0.238648539
Stefon Diggs,WR,MIN,@NE,7600,7.5,-7.45,28.3,13.29,0.238592363
Jamaal Williams,RB,GB,ARI,3500,0,-6.2,14.1,7.9,0.2383335
Antonio Brown,WR,PIT,LAC,7900,8.6,-6.96,29.7,14.16,0.237393547
Davante Adams,WR,GB,ARI,7900,8.3,-7.3,29.4,13.81,0.237393547
Allen Hurns,WR,DAL,NO,3000,0,-5.91,13,7.11,0.237346442
Dalvin Cook,RB,MIN,@NE,6200,5,-5.96,23.6,12.64,0.236220236
Kalen Ballage,RB,MIA,BUF,3000,0,-5.31,12.8,7.47,0.233694958
Adam Thielen,WR,MIN,@NE,8000,9.9,-5.82,30.8,15.03,0.233669104
Odell Beckham,WR,NYG,CHI,7800,8.5,-6.86,29.1,13.75,0.233249069
DeAndre Hopkins,WR,HOU,CLE,8200,9.3,-6.89,30.4,14.23,0.23301052
Miami Dolphins,DEF,MIA,BUF,2700,2.5,-4.41,14.6,7.7,0.232864609
John Ross,WR,CIN,DEN,3900,0,-7.68,14.5,6.86,0.232185823
Tennessee Titans,DEF,TEN,NYJ,3000,2.6,-5.06,15.3,7.63,0.231869216
Chris Moore,WR,BAL,@ATL,3000,0,-5.91,12.7,6.77,0.231869216
Dwayne Harris,WR,OAK,KC,3000,0,-5.91,12.7,6.81,0.231869216
Russell Shepard,WR,NYG,CHI,3000,0,-5.91,12.7,6.76,0.231869216
Tyreek Hill,WR,KC,@OAK,9100,12.7,-5.18,34.8,16.85,0.231670949
Jordan Wilkins,RB,IND,@JAX,3300,0,-5.84,13.3,7.46,0.231523282
Michael Thomas,WR,NO,@DAL,8300,10.1,-6.22,31.1,14.71,0.230504946
A.J. Green,WR,CIN,DEN,7400,3.6,-11.01,23.4,8.8,0.230170325
Phillip Dorsett,WR,NE,MIN,3000,0,-5.91,12.6,6.69,0.230043474
Justin Hardy,WR,ATL,BAL,3000,0,-5.91,12.6,6.66,0.230043474
Jaylen Samuels,RB,PIT,LAC,3600,0,-6.37,13.8,7.46,0.23
Taquan Mizzell,RB,CHI,@NYG,3100,0,-5.49,12.8,7.35,0.229894787
JuJu Smith-Schuster,WR,PIT,LAC,7500,8.2,-6.53,28.1,13.33,0.229785407
Chicago Bears,DEF,CHI,@NYG,3300,2.7,-5.72,15.9,7.48,0.229782506
Nick Chubb,RB,CLE,@HOU,7000,7.4,-5.03,26.6,14.21,0.229483893
James Conner,RB,PIT,LAC,7300,8.4,-4.52,28,15.05,0.229400649
Joe Mixon,RB,CIN,DEN,7300,7.3,-5.6,26.9,14.01,0.229400649
Noah Brown,WR,DAL,NO,3000,0,-5.91,12.5,6.58,0.228217732
Cameron Batson,WR,TEN,NYJ,3000,0,-5.91,12.5,6.61,0.228217732
Auden Tate,WR,CIN,DEN,3000,0,-5.91,12.5,6.55,0.228217732
Nick Williams,WR,LAR,@DET,3000,0,-5.91,12.5,6.63,0.228217732
Wendell Smallwood,RB,PHI,WAS,3000,0,-5.31,12.5,7.15,0.228217732
Trent Taylor,WR,SF,@SEA,3200,0,-6.3,12.9,6.58,0.228041937
Javorius Allen,RB,BAL,@ATL,3200,0,-5.66,12.9,7.27,0.228041937
Julio Jones,WR,ATL,BAL,7700,8.9,-6.27,28.9,13.78,0.227921153
Saquon Barkley,RB,NYG,CHI,7900,10.8,-3.2,31,16.98,0.227267756
Chase Edmonds,RB,ARI,@GB,3800,0,-6.73,14,7.22,0.22710999
Tommy Bohanon,RB,JAX,IND,3000,0,-5.31,12.4,7.09,0.22639199
Josh Bellamy,WR,CHI,@NYG,3000,0,-5.91,12.4,6.49,0.22639199
C.J. Ham,RB,MIN,@NE,3000,0,-5.31,12.4,7.12,0.22639199
Marcus Murphy,RB,BUF,@MIA,3100,0,-5.49,12.6,7.13,0.226302681
Keith Smith,RB,OAK,KC,3000,0,-5.31,12.3,7.03,0.224566249
J.J. Nelson,WR,ARI,@GB,3000,0,-5.91,12.3,6.42,0.224566249
Jawill Davis,WR,NYG,CHI,3000,0,-5.91,12.3,6.41,0.224566249
Equanimeous St. Brown,WR,GB,ARI,3300,0,-6.5,12.9,6.38,0.224560176
Rob Gronkowski,TE,NE,MIN,5400,3.7,-6.17,20.2,10.37,0.22453656
Mike Evans,WR,TB,CAR,8100,7.1,-8.83,27.3,11.38,0.224444444
Malcolm Brown,RB,LAR,@DET,3800,0,-6.73,13.8,7.05,0.223865561
James Washington,WR,PIT,LAC,3200,0,-6.3,12.6,6.26,0.222738636
Ezekiel Elliott,RB,DAL,NO,8000,11.2,-2.97,31.1,16.99,0.222488764
Kansas City Chiefs,DEF,KC,@OAK,2500,2.3,-4.1,13.4,7.05,0.222
Seattle Seahawks,DEF,SEA,SF,3400,2.6,-6.04,15.5,6.82,0.221233175
Alvin Kamara,RB,NO,@DAL,8400,8.3,-6.59,28.5,13.59,0.220400069
David Johnson,RB,ARI,@GB,7400,9.3,-3.75,28.2,15.14,0.219708037
Cameron Artis-Payne,RB,CAR,@TB,3000,0,-5.31,12,6.7,0.219089023
