"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)","OPPORTUNITY (?)","EFFICIENCY (?)"
"56","Kyle Juszczyk",SF,"at SEA"," 4.0","F","4.1","+1.0","46% (7/15)","4%","Great"
"57","Kerryon Johnson",DET,"vs. IND"," 4.4","F","4.0","-1.2","25% (2/8)","7%","Average"
"58","Devontae Booker",LV,"at CLE"," 7.2","F","3.9","+0.4","35% (5/14)","3%","Awful"
"59","Cam Akers",LAR,"at MIA"," 9.6","F","3.6","-3.8","20% (1/5)","3%","Awful"
"60","Royce Freeman",DEN,"vs. LAC"," 4.6","F","3.4","-1.5","33% (5/15)","6%","Awful"
"61","Anthony McFarland Jr.",PIT,"at BAL"," 3.2","F","3.3","-0.5","20% (1/5)","0%","Awful"
"62","Jeremy McNichols",TEN,"at CIN"," 8.2","F","3.3","-","-","4%","Awful"
"63","Jordan Wilkins",IND,"at DET"," 8.0","F","3.3","+0.2","35% (5/14)","3%","Awful"
"64","Samaje Perine",CIN,"vs. TEN"," 5.0","F","3.2","-0.6","0% (0/6)","2%","Awful"
"65","Dontrell Hilliard",CLE,"vs. LV"," 7.4","F","3.1","-0.6","30% (4/13)","2%","Awful"
"66","Jason Huntley",PHI,"vs. DAL"," 6.4","F","2.5","-1.0","0% (0/4)","0%","Awful"
"67","LeSean McCoy",TB,"at NYG"," 8.2","F","2.4","-1.6","23% (3/13)","3%","Awful"
"68","Darrel Williams",KC,"vs. NYJ"," 7.2","F","2.3","-0.2","27% (3/11)","2%","Great"
"69","Trenton Cannon",CAR,"vs. ATL"," 5.0","F","2.3","-1.7","16% (1/6)","1%","Awful"
"70","Jaylen Samuels",PIT,"at BAL"," 3.2","F","2.2","-2.4","13% (2/15)","1%","Awful"
"71","Trayveon Williams",CIN,"vs. TEN"," 5.0","F","2.2","-0.8","0% (0/11)","0%","N/A"
"72","Alec Ingold",LV,"at CLE"," 7.2","F","2.1","+1.4","53% (8/15)","4%","Great"
"73","Jakob Johnson",NE,"at BUF"," 5.4","F","2.0","+1.2","25% (1/4)","6%","Great"
"74","Ty Johnson",NYJ,"at KC"," 8.8","F","2.0","-1.5","18% (3/16)","0%","N/A"
"75","Ke'Shawn Vaughn",TB,"at NYG"," 7.8","F","1.9","-0.9","14% (1/7)","4%","Great"
"76","Alex Armah",CAR,"vs. ATL"," 5.0","F","1.9","-0.8","6% (1/16)","3%","Awful"
"77","Ryan Nall",CHI,"vs. NO"," 3.4","F","1.9","-1.3","0% (0/12)","0%","Awful"
"78","Andy Janovich",CLE,"vs. LV"," 7.4","F","1.9","-0.4","20% (2/10)","1%","Awful"
"79","Carlos Hyde",SEA,"vs. SF"," 5.4","F","1.8","+0.8","46% (6/13)","5%","Great"
"80","Justice Hill",BAL,"vs. PIT"," 5.0","F","1.7","+0.9","45% (5/11)","0%","N/A"
"81","Elijhaa Penny",NYG,"vs. TB"," 5.2","F","1.7","-0.4","0% (0/14)","0%","N/A"
"82","Troymaine Pope",LAC,"at DEN"," 3.4","F","1.5","-","-","0%","N/A"
"83","Darwin Thompson",KC,"vs. NYJ"," 7.2","F","1.5","-0.1","30% (4/13)","1%","Awful"
"84","Reggie Gilliam",BUF,"vs. NE"," 6.6","F","1.5","-0.2","33% (2/6)","6%","Average"
"85","Michael Burton",NO,"at CHI"," 6.6","F","1.5","-0.3","7% (1/14)","0%","N/A"
"86","DeAndre Washington",KC,"vs. NYJ"," 7.2","F","1.5","+1.8","40% (4/10)","10%","Awful"
"87","Keith Smith",ATL,"at CAR"," 7.2","F","1.4","-0.2","40% (6/15)","0%","Awful"
"88","Ameer Abdullah",MIN,"at GB"," 9.6","F","1.3","0.0","13% (2/15)","2%","Awful"
"89","C.J. Ham",MIN,"at GB"," 9.6","F","1.3","-0.1","42% (6/14)","5%","Awful"
"90","Dexter Williams",GB,"vs. MIN"," 5.2","F","1.3","-0.4","0% (0/7)","0%","N/A"
"91","Tyler Ervin",GB,"vs. MIN"," 5.2","F","1.3","+0.3","37% (3/8)","1%","Awful"
"92","Lynn Bowden Jr.",MIA,"vs. LAR"," 7.2","F","1.1","-0.5","75% (3/4)","1%","Awful"
"93","Ty Montgomery",NO,"at CHI"," 6.6","F","1.0","-1.0","30% (4/13)","1%","Awful"
"94","T.J. Yeldon",BUF,"vs. NE"," 6.6","F","0.8","+1.1","16% (1/6)","3%","Great"
"95","Rico Dowdle",DAL,"at PHI"," 4.6","F","0.4","-0.7","0% (0/4)","0%","Awful"
"96","Mike Boone",MIN,"at GB"," 9.6","F","0.4","+1.1","26% (4/15)","7%","Awful"
"97","Patrick Ricard",BAL,"vs. PIT","-","F","0.4","-0.6","7% (1/14)","6%","Great"
"98","Josh Adams",NYJ,"at KC"," 8.8","F","0.3","-0.6","23% (3/13)","9%","Average"
"99","Patrick Laird",MIA,"vs. LAR"," 7.2","F","1.2","0.0","37% (6/16)","0%","N/A"
"100","Anthony Sherman",KC,"vs. NYJ"," 7.2","F","0.6","-0.1","13% (2/15)","6%","Average"
"101","Qadree Ollison",ATL,"at CAR","-","F","0.6","+1.6","44% (4/9)","0%","Awful"
"102","Khari Blasingame",TEN,"at CIN"," 8.4","F","0.4","-0.4","20% (2/10)","0%","N/A"
"103","Kalen Ballage",LAC,"at DEN"," 3.4","F","0.1","-0.5","36% (4/11)","0%","N/A"
"104","Taiwan Jones",BUF,"vs. NE"," 6.6","F","0.6","-0.3","0% (0/13)","4%","Awful"
"105","Jordan Howard",MIA,"vs. LAR"," 6.4","F","0.5","+0.9","62% (5/8)","24%","Average"
"106","Chandler Cox",MIA,"vs. LAR","-","F","0.5","-0.5","15% (2/13)","0%","N/A"
"107","J.J. Taylor",NE,"at BUF","-","F","0.5","-1.0","33% (2/6)","5%","Awful"
"108","Derek Watt",PIT,"at BAL","-","F","0.3","0.0","9% (1/11)","0%","N/A"
"109","D'Onta Foreman",TEN,"at CIN","-","F","0.2","-","-","0%","N/A"
"110","Jeremy Cox",DEN,"vs. LAC","-","F","0.1","-","-","0%","N/A"
