Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts,uncertainty
168,Andre Roberts,BUF,NYJ,127,164,149.7,16.2,0.5,2.066456692913386
169,Christian Blake,ATL,SEA,144,159,149.7,6.6,0.5,0.3025
170,Freddie Swain,SEA,ATL,146,161,152.3,6.3,0.4,0.27184931506849314
171,C.J. Board,NYG,PIT,143,165,153.7,9.0,0.4,0.5664335664335665
172,Malcolm Perry,MIA,NE,132,168,154.3,15.9,0.4,1.9152272727272728
173,Isaiah Wright,WAS,PHI,146,160,153.0,7.0,0.3,0.3356164383561644
174,Cyril Grayson,TB,NO,147,172,159.5,12.5,0.3,1.0629251700680271
175,Tyrie Cleveland,DEN,TEN,147,180,163.5,16.5,0.3,1.8520408163265305
176,Ray-Ray McCloud,PIT,NYG,154,170,162.0,8.0,0.2,0.4155844155844156
177,Brandon Powell,ATL,SEA,157,169,163.0,6.0,0.2,0.22929936305732485
178,Ashton Dulin,IND,JAC,156,181,168.5,12.5,0.2,1.001602564102564
179,Malik Turner,DAL,LAR,161,167,164.0,3.0,0.2,0.055900621118012424
180,Trishton Jackson,LAR,DAL,166,175,170.5,4.5,0.1,0.12198795180722892
