Pos,Player,Tm,Opp,DK Sal $,Projected Own%,Cash Odds,GPP Odds,Implied Own%,DK LEV
RB,Kalen Ballage,MIA,BAL,4500,0.50%,16%,1%,1%,1.6
WR,Robert Foster,BUF,@NYJ,4100,0.50%,14%,1%,1%,1.59
DEF,Washington Redskins,WAS,@PHI,2500,0.50%,17%,1%,1%,1.56
RB,Dion Lewis,TEN,@CLE,4700,0.50%,15%,1%,1%,1.54
WR,Chris Conley,JAX,KC,3100,0.50%,16%,1%,1%,1.53
QB,Ryan Fitzpatrick,MIA,BAL,4900,0.50%,14%,2%,1%,1.39
RB,Frank Gore,BUF,@NYJ,3800,0.50%,16%,1%,1%,1.21
RB,Justice Hill,BAL,@MIA,3600,0.50%,16%,0%,1%,1.18
RB,Devin Singletary,BUF,@NYJ,3600,0.50%,16%,0%,1%,1.16
WR,Nelson Agholor,PHI,WAS,3900,0.50%,13%,0%,1%,1.09
RB,Ronald Jones,TB,SF,3900,0.50%,15%,0%,1%,1.08
RB,Ty Montgomery,NYJ,BUF,3200,0.50%,16%,0%,0%,0.97
RB,Dare Ogunbowale,TB,SF,3000,0.50%,17%,0%,0%,0.94
WR,Jarius Wright,CAR,LAR,3200,0.50%,13%,0%,0%,0.88
RB,Giovani Bernard,CIN,@SEA,4100,0.50%,13%,0%,0%,0.87
WR,Bennie Fowler,NYG,@DAL,3000,0.50%,13%,0%,0%,0.78
WR,Parris Campbell,IND,@LAC,3800,0.50%,11%,0%,0%,0.76
TE,C.J. Uzomah,CIN,@SEA,2600,0.50%,13%,0%,0%,0.74
RB,Ryquell Armstead,JAX,KC,3000,0.50%,14%,0%,0%,0.65
WR,Chad Beebe,MIN,ATL,3000,0.50%,12%,0%,0%,0.64
WR,Chris Moore,BAL,@MIA,3200,0.50%,12%,0%,0%,0.64
RB,Chase Edmonds,ARI,DET,3100,0.50%,13%,0%,0%,0.56
TE,Mike Gesicki,MIA,BAL,3000,0.50%,12%,0%,0%,0.56
RB,Malcolm Brown,LAR,@CAR,3800,0.50%,11%,0%,0%,0.51
WR,Travis Benjamin,LAC,IND,3300,0.50%,10%,0%,0%,0.51
TE,Jesse James,DET,@ARI,2500,0.50%,12%,0%,0%,0.48
RB,Ito Smith,ATL,@MIN,4000,0.50%,10%,0%,0%,0.47
TE,Rhett Ellison,NYG,@DAL,2500,0.50%,11%,0%,0%,0.45
WR,Cody Latimer,NYG,@DAL,3300,0.50%,10%,0%,0%,0.42
TE,Ian Thomas,CAR,LAR,2800,0.50%,10%,0%,0%,0.4
WR,Keelan Cole,JAX,KC,3400,0.50%,9%,0%,0%,0.37
TE,Cameron Brate,TB,SF,2800,0.50%,10%,0%,0%,0.34
WR,Isaiah McKenzie,BUF,@NYJ,3000,0.50%,9%,0%,0%,0.32
TE,Nick Vannett,SEA,CIN,2700,0.50%,10%,0%,0%,0.32
RB,Nyheim Hines,IND,@LAC,3900,0.50%,9%,0%,0%,0.3
WR,Josh Doctson,MIN,ATL,3900,0.50%,8%,0%,0%,0.29
TE,Tyler Higbee,LAR,@CAR,2600,0.50%,9%,0%,0%,0.28
WR,Andy Isabella,ARI,DET,3400,0.50%,8%,0%,0%,0.26
TE,Blake Jarwin,DAL,NYG,2700,0.50%,9%,0%,0%,0.25
WR,Zay Jones,BUF,@NYJ,3700,0.50%,7%,0%,0%,0.25
WR,Mecole Hardman,KC,@JAX,4100,0.50%,6%,0%,0%,0.22
WR,Kendrick Bourne,SF,@TB,3000,0.50%,8%,0%,0%,0.21
WR,Alex Erickson,CIN,@SEA,3200,0.50%,7%,0%,0%,0.19
WR,Breshad Perriman,TB,SF,3300,0.50%,7%,0%,0%,0.19
TE,Hayden Hurst,BAL,@MIA,2700,0.50%,8%,0%,0%,0.19
RB,T.J. Yeldon,BUF,@NYJ,3300,0.50%,8%,0%,0%,0.17
WR,Jalen Hurd,SF,@TB,3000,0.50%,7%,0%,0%,0.16
TE,Jonnu Smith,TEN,@CLE,2700,0.50%,7%,0%,0%,0.16
TE,James O'Shaughnessy,JAX,KC,2500,0.50%,8%,0%,0%,0.15
TE,Blake Bell,KC,@JAX,2500,0.50%,7%,0%,0%,0.12
TE,Irv Smith Jr.,MIN,ATL,2700,0.50%,7%,0%,0%,0.12
RB,Dontrell Hilliard,CLE,TEN,3000,0.50%,8%,0%,0%,0.11
TE,Jeremy Sprinkle,WAS,@PHI,2500,0.50%,7%,0%,0%,0.11
WR,Tavon Austin,DAL,NYG,3000,0.50%,6%,0%,0%,0.11
WR,Allen Hurns,MIA,BAL,3700,0.50%,5%,0%,0%,0.09
TE,Demetrius Harris,CLE,TEN,2500,0.50%,6%,0%,0%,0.09
TE,Luke Stocker,ATL,@MIN,2500,0.50%,6%,0%,0%,0.09
TE,Mo Alie-Cox,IND,@LAC,2500,0.50%,6%,0%,0%,0.09
WR,Tajae Sharpe,TEN,@CLE,3000,0.50%,5%,0%,0%,0.08
RB,Darren Sproles,PHI,WAS,3100,0.50%,7%,0%,0%,0.07
TE,Dawson Knox,BUF,@NYJ,2500,0.50%,6%,0%,0%,0.07
TE,Dalton Schultz,DAL,NYG,2500,0.50%,5%,0%,0%,0.06
RB,Bilal Powell,NYJ,BUF,3300,0.50%,5%,0%,0%,0.05
TE,Charles Clay,ARI,DET,2700,0.50%,5%,0%,0%,0.05
TE,Deon Yelder,KC,@JAX,2500,0.50%,5%,0%,0%,0.05
TE,Virgil Green,LAC,IND,2500,0.50%,5%,0%,0%,0.05
TE,Anthony Firkser,TEN,@CLE,2500,0.50%,5%,0%,0%,0.04
WR,Antonio Callaway,CLE,TEN,3300,0.50%,4%,0%,0%,0.04
WR,Chester Rogers,IND,@LAC,3300,0.50%,4%,0%,0%,0.04
TE,Drew Sample,CIN,@SEA,2500,0.50%,4%,0%,0%,0.04
TE,Nick O'Leary,MIA,BAL,2500,0.50%,4%,0%,0%,0.04
RB,Reggie Bonnafon,CAR,LAR,3000,0.50%,5%,0%,0%,0.04
TE,Antony Auclair,TB,SF,2500,0.50%,4%,0%,0%,0.03
WR,Bobo Wilson,TB,SF,3000,0.50%,4%,0%,0%,0.03
WR,Chris Hogan,CAR,LAR,3300,0.50%,4%,0%,0%,0.03
WR,Darius Slayton,NYG,@DAL,3200,0.50%,4%,0%,0%,0.03
WR,Demarcus Robinson,KC,@JAX,3200,0.50%,4%,0%,0%,0.03
WR,Josh Reynolds,LAR,@CAR,3300,0.50%,3%,0%,0%,0.03
TE,Ross Dwelley,SF,@TB,2500,0.50%,4%,0%,0%,0.03
TE,Chris Manhertz,CAR,LAR,2500,0.50%,3%,0%,0%,0.02
RB,Darwin Thompson,KC,@JAX,3000,0.50%,4%,0%,0%,0.02
TE,Maxx Williams,ARI,DET,2500,0.50%,3%,0%,0%,0.02
TE,Nick Boyle,BAL,@MIA,2500,0.50%,3%,0%,0%,0.02
TE,Tommy Sweeney,BUF,@NYJ,2500,0.50%,3%,0%,0%,0.02
TE,Tyler Conklin,MIN,ATL,2500,0.50%,4%,0%,0%,0.02
RB,Tyler Ervin,JAX,KC,3000,0.50%,4%,0%,0%,0.02
RB,Brian Hill,ATL,@MIN,3000,0.50%,3%,0%,0%,0.01
RB,C.J. Prosise,SEA,CIN,3000,0.50%,3%,0%,0%,0.01
RB,Corey Clement,PHI,WAS,3200,0.50%,3%,0%,0%,0.01
WR,Damion Ratley,CLE,TEN,3000,0.50%,3%,0%,0%,0.01
RB,David Fluellen,TEN,@CLE,3000,0.50%,3%,0%,0%,0.01
RB,Gus Edwards,BAL,@MIA,3100,0.50%,2%,0%,0%,0.01
WR,JJ Arcega-Whiteside,PHI,WAS,3400,0.50%,2%,0%,0%,0.01
RB,Jonathan Williams,IND,@LAC,3000,0.50%,3%,0%,0%,0.01
WR,Josh Bellamy,NYJ,BUF,3000,0.50%,3%,0%,0%,0.01
WR,Justin Hardy,ATL,@MIN,3000,0.50%,3%,0%,0%,0.01
RB,Mike Boone,MIN,ATL,3000,0.50%,3%,0%,0%,0.01
TE,Sean Culkin,LAC,IND,2500,0.50%,3%,0%,0%,0.01
WR,Taywan Taylor,CLE,TEN,3100,0.50%,3%,0%,0%,0.01
WR,Zach Pascal,IND,@LAC,3100,0.50%,2%,0%,0%,0.01
RB,Alfred Morris,DAL,NYG,3500,0.50%,2%,0%,0%,0
WR,Auden Tate,CIN,@SEA,3000,0.50%,1%,0%,0%,0
RB,Chandler Cox,MIA,BAL,3000,0.50%,2%,0%,0%,0
RB,D'Ernest Johnson,CLE,TEN,3000,0.50%,1%,0%,0%,0
WR,Darius Jennings,TEN,@CLE,3000,0.50%,1%,0%,0%,0
RB,Darrel Williams,KC,@JAX,3400,0.50%,1%,0%,0%,0
WR,Deon Cain,IND,@LAC,3000,0.50%,1%,0%,0%,0
RB,Devine Ozigbo,JAX,KC,3000,0.50%,2%,0%,0%,0
WR,Dontrelle Inman,LAC,IND,3200,0.50%,1%,0%,0%,0
WR,Gary Jennings,SEA,CIN,3000,0.50%,1%,0%,0%,0
WR,Geremy Davis,LAC,IND,3000,0.50%,1%,0%,0%,0
WR,Jakeem Grant,MIA,BAL,3000,0.50%,2%,0%,0%,0
RB,Jordan Scarlett,CAR,LAR,3400,0.50%,2%,0%,0%,0
RB,Jordan Wilkins,IND,@LAC,3000,0.50%,2%,0%,0%,0
WR,Mack Hollins,PHI,WAS,3000,0.50%,1%,0%,0%,0
RB,Myles Gaskin,MIA,BAL,3000,0.50%,1%,0%,0%,0
RB,Patrick DiMarco,BUF,@NYJ,3000,0.50%,1%,0%,0%,0
RB,Paul Perkins,NYG,@DAL,3300,0.50%,2%,0%,0%,0
RB,Qadree Ollison,ATL,@MIN,3000,0.50%,2%,0%,0%,0
RB,Raheem Mostert,SF,@TB,3700,0.50%,2%,0%,0%,0
WR,Russell Gage,ATL,@MIN,3000,0.50%,1%,0%,0%,0
WR,Russell Shepard,NYG,@DAL,3000,0.50%,1%,0%,0%,0
RB,T.J. Logan,TB,SF,3000,0.50%,1%,0%,0%,0
RB,Trayveon Williams,CIN,@SEA,3000,0.50%,1%,0%,0%,0
WR,Trent Sherfield,ARI,DET,3000,0.50%,1%,0%,0%,0
RB,Trenton Cannon,NYJ,BUF,3000,0.50%,1%,0%,0%,0
RB,Troymaine Pope,LAC,IND,3000,0.50%,2%,0%,0%,0
RB,Ty Johnson,DET,@ARI,3000,0.50%,2%,0%,0%,0
