Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev
66,Trey Quinn,WAS,PHI,41,93,66.6,9.3
67,Rashard Higgins,CLE,TEN,40,95,67.7,9.0
68,Devin Funchess,IND,LAC,42,82,66.0,6.8
69,Taylor Gabriel,CHI,GB,46,90,66.0,5.5
70,Kenny Stills,HOU,NO,38,114,67.7,11.1
71,Willie Snead,BAL,MIA,50,100,74.7,7.2
72,Randall Cobb,DAL,NYG,45,95,74.4,6.7
73,Danny Amendola,DET,ARI,40,100,73.4,7.4
74,Miles Boykin,BAL,MIA,47,105,73.8,8.9
75,John Ross,CIN,SEA,55,97,74.0,8.2
