,cost,name,own,team
86,5000,Mark Andrews,0.037,BAL
87,3900,Preston Williams,0.036,MIA
88,4300,Adrian Peterson,0.034,WAS
89,6100,Robert Woods,0.032,LAR
90,6500,Julian Edelman,0.03,NE
91,4100,Justin Jackson,0.029,OLAC
92,3000,Trey Quinn,0.027,WAS
93,6000,Chris Godwin,0.026,TB
94,4800,Mike Williams,0.022,OLAC
95,4500,Chris Thompson,0.022,WAS
96,4800,Delanie Walker,0.02,TEN
97,5600,Allen Robinson,0.016,CHI
98,3700,Paul Richardson,0.016,WAS
99,3900,O.J. Howard,0.016,TB
100,4300,Carlos Hyde,0.015,HOU
101,5900,Josh Gordon,0.014,NE
102,5700,Tyrell Williams,0.012,OAK
103,5500,Stefon Diggs,0.009,MIN
104,5600,LeSean McCoy,0.009,KC
105,4300,Austin Hooper,0.008,ATL
106,6400,T.Y. Hilton,0.007,IND
107,5600,D.J. Moore,0.007,CAR
108,5200,Phillip Lindsay,0.006,DEN
109,5200,Demarcus Robinson,0.005,KC
110,4100,Mohamed Sanu,0.004,ATL
111,5300,David Montgomery,0.004,CHI
112,3100,Keke Coutee,0.004,HOU
113,5400,Marvin Jones,0.003,DET
114,3900,Danny Amendola,0.003,DET
115,5500,Sony Michel,0.003,NE
116,4400,Rex Burkhead,0.003,NE
117,5300,John Brown,0.002,BUF
118,5100,Mecole Hardman,0.002,KC
119,3400,Vernon Davis,0.002,WAS
120,4200,Duke Johnson,0.002,HOU
121,4200,Kenyan Drake,0.002,MIA
122,4000,Eric Ebron,0.002,IND
123,4600,Courtland Sutton,0.002,DEN
124,3200,KeeSean Johnson,0.001,ARI
125,4700,Cole Beasley,0.001,BUF
126,4000,Nyheim Hines,0.001,IND
127,4000,Jalen Richard,0.001,OAK
128,2600,Noah Fant,0.001,DEN
129,3700,Anthony Miller,0.001,CHI
130,4400,Malcolm Brown,0.001,LAR
131,4400,Willie Snead,0.001,BAL
132,4900,Parris Campbell,0.001,IND
133,4000,Adam Humphries,0.001,TEN
134,3700,Taylor Gabriel,0.001,OCHI
135,3700,A.J. Brown,0.001,TEN
136,3400,David Moore,0.001,SEA
137,4000,Chris Conley,0.001,JAC
138,4200,Kenny Stills,0.001,HOU
139,4100,Devante Parker,0.001,MIA
140,3800,Kalen Ballage,0.001,MIA
141,3000,Travis Benjamin,0.001,LAC
142,3000,Miles Boykin,0.001,BAL
143,5500,Dede Westbrook,0.001,JAC
144,4800,Royce Freeman,0.001,DEN
145,4900,Emmanuel Sanders,0.001,DEN
146,3600,DaeSean Hamilton,0.001,DEN
147,4200,Rashaad Penny,0.001,SEA
148,4400,Ronald Jones II,0.001,TB
149,4300,Peyton Barber,0.001,TB
150,5400,Damien Williams,0.001,OKC
151,3700,Dion Lewis,0.001,TEN
152,4700,Darrel Williams,0.001,KC
153,4200,Devin Singletary,0.001,BUF
154,4600,Tarik Cohen,0.001,CHI
155,3200,Deon Cain,0.001,IND
156,3700,Ito Smith,0.001,ATL
157,3800,Hunter Renfrow,0.001,OAK
158,3100,Zay Jones,0.001,BUF
159,3200,Gerald Everett,0.001,LAR
160,3800,Trey Burton,0.001,CHI
161,3700,Jack Doyle,0.001,IND
162,4500,Zach Pascal,0.001,IND
163,3400,Rashard Higgins,0.001,CLE
164,3600,Cody Latimer,0.001,NYG
165,3200,Breshad Perriman,0.001,TB
166,3500,Bennie Fowler,0.001,NYG
167,5100,Jarvis Landry,0.001,CLE
168,4700,Phillip Dorsett,0.001,NE
169,4400,Frank Gore,0.001,BUF
170,5100,D.J. Chark,0.001,JAC
