Player,Ownership
Steven Sims,0.10%
Mike Gesicki,0.10%
Tyreek Hill,0.10%
Darrel Williams,0.10%
Blake Bell,0.10%
Wendell Smallwood,0.10%
Kelvin Harmon,0.10%
Allen Hurns,0.10%
Kalen Ballage,0.10%
Jakeem Grant,0.10%
Keenan Allen,0.00%
Mike Williams,0.00%
Andre Patton,0.00%
Travis Benjamin,0.00%
Geremy Davis,0.00%
Melvin Gordon,0.00%
Hunter Henry,0.00%
Trey Edmunds,0.00%
Roosevelt Nix,0.00%
Derek Watt,0.00%
Lance Kendricks,0.00%
Virgil Green,0.00%
Ryan Switzer,0.00%
Nick Bawden,0.00%
Diontae Johnson,0.00%
JuJu Smith-Schuster,0.00%
Benny Snell,0.00%
James Conner,0.00%
Johnny Holton,0.00%
Austin Ekeler,0.00%
Nick Vannett,0.00%
Vance McDonald,0.00%
Donte Moncrief,0.00%
Troymaine Pope,0.00%
Logan Thomas,0.00%
Dan Vitale,0.00%
Tra Carson,0.00%
Jamaal Williams,0.00%
Aaron Jones,0.00%
Marquez Valdes-Scantling,0.00%
Geronimo Allison,0.00%
Jake Kumerow,0.00%
Allen Lazard,0.00%
Jimmy Graham,0.00%
Robert Tonyan,0.00%
Darrius Shepherd,0.00%
Kenny Golladay,0.00%
Ty Johnson,0.00%
J.D. McKissic,0.00%
Kerryon Johnson,0.00%
Marvin Jones,0.00%
Danny Amendola,0.00%
Jesse James,0.00%
T.J. Hockenson,0.00%
Tom Kennedy,0.00%
Marvin Hall,0.00%
Marcedes Lewis,0.00%
Brandon Zylstra,0.00%
O.J. Howard,0.00%
Cameron Brate,0.00%
Justin Watson,0.00%
Scotty Miller,0.00%
Bobo Wilson,0.00%
Antony Auclair,0.00%
Mike Evans,0.00%
Greg Olsen,0.00%
Ian Thomas,0.00%
Chris Manhertz,0.00%
Ray-Ray McCloud,0.00%
Chris Godwin,0.00%
Damiere Byrd,0.00%
Jordan Matthews,0.00%
Jerome Cunningham,0.00%
Jeremy Sprinkle,0.00%
Lil'Jordan Humphrey,0.00%
Ronald Jones,0.00%
Kenjon Barner,0.00%
T.J. Logan,0.00%
Dare Ogunbowale,0.00%
Peyton Barber,0.00%
D.J. Moore,0.00%
Jarius Wright,0.00%
Reggie Bonnafon,0.00%
Alex Armah,0.00%
Jordan Scarlett,0.00%
Curtis Samuel,0.00%
Christian McCaffrey,0.00%
,
,
,
,
,
,
,
,
,
