"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID","DK Ceiling"
"Austin Ekeler","LAC","WAS","RB","7000","16.7","-0.1","3.5","18522509","21.5"
"Tee Higgins","CIN","MIN","WR","4700","14.7","2.4","21.0","18522933","21.3"
"James Robinson","JAX","HOU","RB","6400","14.3","-1.4","14.2","18522519","21.3"
"Clyde Edwards-Helaire","KC","CLE","RB","6600","15.1","-0.9","2.7","18522515","21.3"
"Keenan Allen","LAC","WAS","WR","6900","15.6","-1.1","2.0","18522871","21.3"
"Ben Roethlisberger","PIT","BUF","QB","6100","16.4","-2.5","0.5","18522414","21.3"
"Odell Beckham Jr.","CLE","KC","WR","5400","14.8","1.1","2.3","18522905","21.1"
"Brandon Aiyuk","SF","DET","WR","5700","13.8","-0.5","4.1","18522895","21.0"
"Chris Carson","SEA","IND","RB","5900","15.2","0.5","7.7","18522529","20.8"
"Mike Davis","ATL","PHI","RB","5400","13.9","0.2","14.4","18522537","20.6"
"Nick Chubb","CLE","KC","RB","7200","14.5","-2.7","0.7","18522507","20.5"
"Raheem Mostert","SF","DET","RB","5800","13.3","-1.2","4.6","18522531","20.5"
"Saquon Barkley","NYG","DEN","RB","7800","14.1","-4.3","2.0","18522505","19.7"
"Laviska Shenault Jr.","JAX","HOU","WR","5000","13.0","0.1","7.9","18522919","19.6"
"Miles Sanders","PHI","ATL","RB","6500","14.3","-1.6","0.5","18522517","19.6"
"Marvin Jones Jr.","JAX","HOU","WR","3600","12.7","2.5","24.2","18522997","19.4"
"Corey Davis","NYJ","CAR","WR","4900","13.6","0.8","10.5","18522923","19.4"
"Brandin Cooks","HOU","JAX","WR","5300","13.2","-0.3","2.7","18522907","19.3"
"Jarvis Landry","CLE","KC","WR","6000","13.4","-1.5","0.5","18522887","19.2"
"Jerry Jeudy","DEN","NYG","WR","4800","13.3","0.8","6.0","18522927","19.2"
"Jimmy Garoppolo","SF","DET","QB","5500","16.3","-0.8","0.9","18522420","19.2"
"Kyle Pitts","ATL","PHI","TE","4400","12.6","0.9","25.0","18523497","19.1"
"Jared Goff","DET","SF","QB","5100","15.0","-0.9","0.5","18522427","19.1"
"Russell Gage","ATL","PHI","WR","5300","12.1","-1.4","0.5","18522909","18.8"
"Melvin Gordon III","DEN","NYG","RB","5300","12.6","-0.9","0.6","18522539","18.6"
"DJ Chark Jr.","JAX","HOU","WR","5800","12.2","-2.2","1.0","18522891","18.5"
"Damien Harris","NE","MIA","RB","5200","12.6","-0.7","3.3","18522541","18.5"
"Marquez Callaway","NO","GB","WR","3400","12.8","3.0","30.6","18523009","18.3"
"Mecole Hardman","KC","CLE","WR","4800","11.4","-1.1","2.5","18522929","18.2"
"D'Andre Swift","DET","SF","RB","6900","12.9","-3.7","1.0","18522511","18.0"
"Diontae Johnson","PIT","BUF","WR","6300","13.4","-2.1","1.1","18522881","18.0"
"Ja'Marr Chase","CIN","MIN","WR","4800","12.3","-0.2","2.6","18522931","17.9"
"Myles Gaskin","MIA","NE","RB","6000","13.5","-1.4","0.7","18522525","17.9"
"Trey Sermon","SF","DET","RB","4500","11.3","-0.6","6.0","18522567","17.9"
"Jakobi Meyers","NE","MIA","WR","5100","11.5","-1.6","1.5","18522917","17.5"
"Chase Edmonds","ARI","TEN","RB","4600","12.0","-0.1","8.7","18522561","17.3"
"Emmanuel Sanders","BUF","PIT","WR","4100","11.2","0.0","1.0","18522961","17.3"
"Courtland Sutton","DEN","NYG","WR","5200","12.1","-1.2","0.5","18522911","17.3"
"DeVonta Smith","PHI","ATL","WR","4500","11.5","-0.4","5.0","18522947","17.2"
"JuJu Smith-Schuster","PIT","BUF","WR","6200","12.2","-3.0","0.5","18522883","16.9"
"DeVante Parker","MIA","NE","WR","5500","12.1","-1.8","0.6","18522901","16.8"
"Kareem Hunt","CLE","KC","RB","5500","11.0","-2.9","0.5","18522535","16.5"
