"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID","DK Ceiling"
"Deonte Harris","NO","GB","WR","3200","5.8","-3.5","6.1","18523021","9.0"
"Bengals ","CIN","MIN","DST","2000","5.0","0.0","5.5","18523849","9.0"
"Colts ","IND","SEA","DST","2300","5.0","-0.6","6.8","18523843","9.0"
"Samaje Perine","CIN","MIN","RB","4300","4.4","-7.2","0.0","18522581","8.9"
"Justin Jackson","LAC","WAS","RB","4000","5.9","-5.1","0.5","18522719","8.8"
"Kyle Juszczyk","SF","DET","RB","4000","3.9","-7.1","0.0","18522779","8.8"
"Quez Watkins","PHI","ATL","WR","3000","5.5","-3.5","1.5","18523459","8.7"
"Tyler Kroft","NYJ","CAR","TE","2500","6.1","-1.9","0.5","18523671","8.6"
"Geoff Swaim","TEN","ARI","TE","2500","4.5","-3.4","0.1","18523737","8.5"
"James O'Shaughnessy","JAX","HOU","TE","2500","4.9","-3.0","0.4","18523637","8.4"
"Kendrick Bourne","NE","MIA","WR","4400","5.3","-6.5","0.5","18522949","8.4"
"Mohamed Sanu","SF","DET","WR","3000","4.5","-4.4","0.0","18523365","8.4"
"Jordan Akins","HOU","JAX","TE","3000","5.5","-3.5","0.8","18523535","8.3"
"Darrel Williams","KC","CLE","RB","4800","4.0","-8.5","0.0","18522555","8.3"
"Kyle Rudolph","NYG","DEN","TE","2800","5.8","-2.8","1.3","18523545","8.2"
"Jeremy McNichols","TEN","ARI","RB","4000","4.1","-6.8","0.0","18522761","8.2"
"Steelers ","PIT","BUF","DST","2800","4.4","-2.2","0.7","18523837","8.2"
"Dan Arnold","CAR","NYJ","TE","2600","4.4","-3.8","0.5","18523553","7.9"
"Jerick McKinnon","KC","CLE","RB","4100","3.7","-7.4","0.0","18522587","7.9"
"Wayne Gallman Jr.","ATL","PHI","RB","4000","3.6","-7.3","0.0","18522771","7.8"
"Michael Carter","NYJ","CAR","RB","4000","3.5","-7.4","0.0","18522705","7.8"
"Boston Scott","PHI","ATL","RB","4000","3.8","-7.1","0.0","18522827","7.8"
"Jack Doyle","IND","SEA","TE","3200","5.0","-4.4","0.0","18523527","7.7"
"Allen Lazard","GB","NO","WR","4000","4.0","-6.9","0.0","18522963","7.6"
"Salvon Ahmed","MIA","NE","RB","4300","4.5","-7.0","0.0","18522579","7.6"
"Trey Lance","SF","DET","QB","4500","3.6","-10.4","0.0","18522436","7.6"
"Cardinals ","ARI","TEN","DST","2100","3.9","-1.2","2.0","18523848","7.6"
"Chuba Hubbard","CAR","NYJ","RB","4000","3.2","-7.7","0.0","18522689","7.5"
"Taysom Hill","NO","GB","QB","5200","3.4","-12.8","0.0","18522426","7.4"
"Rhamondre Stevenson","NE","MIA","RB","4000","3.2","-7.7","0.0","18522633","7.2"
"Will Dissly","SEA","IND","TE","2600","3.8","-4.4","0.0","18523555","7.2"
"Maxx Williams","ARI","TEN","TE","2700","3.8","-4.5","0.0","18523547","7.1"
