Player,Ownership
De'Lance Turner,0.10%
Jeremy Sprinkle,0.10%
Javorius Allen,0.10%
Isaiah Ford,0.10%
Reggie Bonnafon,0.10%
Olamide Zaccheaus,0.10%
Devine Ozigbo,0.10%
Seth DeValve,0.10%
C.J. Board,0.10%
Dontrelle Inman,0.10%
Mo Alie-Cox,0.10%
Jordan Wilkins,0.10%
Ashton Dulin,0.10%
Zach Pascal,0.10%
Ian Thomas,0.10%
Brandon Zylstra,0.10%
Luke Stocker,0.10%
Alex Armah,0.10%
Justin Hardy,0.10%
Qadree Ollison,0.10%
Jarius Wright,0.10%
Chris Hogan,0.10%
Nick O'Leary,0.10%
Ryquell Armstead,0.10%
Clive Walford,0.10%
Josh Ferguson,0.10%
Justice Hill,0.10%
Khadarel Hodge,0.10%
Gus Edwards,0.10%
Hayden Hurst,0.10%
Chris Moore,0.10%
Kareem Hunt,0.10%
Dontrell Hilliard,0.10%
Damion Ratley,0.10%
Dwayne Washington,0.10%
Ricky Seals-Jones,0.10%
Demetrius Harris,0.10%
Rashard Higgins,0.10%
Nick Boyle,0.10%
David Njoku,0.10%
Darwin Thompson,0.00%
Spencer Ware,0.00%
Tyreek Hill,0.00%
Sammy Watkins,0.00%
Demarcus Robinson,0.00%
LeSean McCoy,0.00%
Damien Williams,0.00%
Allen Robinson,0.00%
Anthony Miller,0.00%
David Montgomery,0.00%
Tarik Cohen,0.00%
Ryan Nall,0.00%
Mecole Hardman,0.00%
Byron Pringle,0.00%
Blake Bell,0.00%
Travis Kelce,0.00%
Cordarrelle Patterson,0.00%
Javon Wims,0.00%
Davante Adams,0.00%
Geronimo Allison,0.00%
Dan Vitale,0.00%
Aaron Jones,0.00%
Irv Smith,0.00%
Jake Kumerow,0.00%
Allen Lazard,0.00%
Jamaal Williams,0.00%
Ameer Abdullah,0.00%
Marcedes Lewis,0.00%
Jimmy Graham,0.00%
Marquez Valdes-Scantling,0.00%
Stefon Diggs,0.00%
Alexander Mattison,0.00%
Riley Ridley,0.00%
Tyler Conklin,0.00%
Bradley Sowell,0.00%
J.P. Holtz,0.00%
Jesper Horsted,0.00%
Kyle Rudolph,0.00%
Alexander Hollins,0.00%
Mike Boone,0.00%
C.J. Ham,0.00%
Adam Thielen,0.00%
Olabisi Johnson,0.00%
Laquon Treadwell,0.00%
Wes Hills,0.00%
Tevin Jones,0.00%
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
